rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,total field kill,team kill,kill,assist,hunting,killer,gameId,teamName,rankscore
1,20,Justyna,かとかい,혈색반월-새벽,Defense,20,16,16,4,10,72,,45713015,Toddler Gangster,8
1,20,Lenox,ニッキーブレーク,글레이프니르,Defense,20,16,16,3,9,15,,45713015,Toddler Gangster,8
1,20,Rio,Meltt,페일노트-진홍,Defense,20,16,16,9,5,84,,45713015,Toddler Gangster,8
2,20,Hart,ハッピー天月,프리버드,Defense,20,11,11,7,3,64,Meltt,45713015,Out of Control,5
2,20,Echion,い力,블랙맘바킹-TL,Defense,20,11,11,1,8,49,かとかい,45713015,Out of Control,5
2,20,Lyanh,thato,카른웬난,Defense,20,11,11,3,5,63,ニッキーブレーク,45713015,Out of Control,5
3,20,Xiukai,レイライン,파산검,Defense,19,4,4,1,2,25,松マキサ,45713015,チクチク梅,4
3,20,DebiMarlene,無双,다인슬라이프-진홍,Defense,20,4,4,1,2,61,Meltt,45713015,チクチク梅,4
3,20,Justyna,ZEKURIP,팬텀 볼트,Defense,20,4,4,2,2,64,ハッピー天月,45713015,チクチク梅,4
4,20,Eva,松マキサ,아스트라페,Defense,20,7,7,3,4,31,ニッキーブレーク,45713015,SCB,3
4,20,Leon,LegendOfLeague,흑요석짓테,Defense,19,7,7,2,5,33,ハッピー天月,45713015,SCB,3
4,20,YuMin,akihisa,여제,Defense,20,7,7,2,5,58,ハッピー天月,45713015,SCB,3
5,19,Kenneth,舞野,진홍빛 낫-진홍,Defense,18,6,6,1,4,40,Meltt,45713015,舞野組,2
5,19,Garnet,HeianKYO,스파이의우산,Defense,18,6,6,1,5,26,松マキサ,45713015,舞野組,2
5,19,Theodore,とんとジェニー,데드아이,Defense,19,6,6,4,2,52,Meltt,45713015,舞野組,2
6,19,Bianca,みゅーき,더스타,Defense,18,8,8,0,8,37,thato,45713015,パクサンジュン.jpg,1
6,19,Laura,らいらい,우라누스,Defense,19,8,8,3,4,19,ハッピー天月,45713015,パクサンジュン.jpg,1
6,20,Jan,박의민,택티컬톤파,Defense,19,8,8,5,3,36,かとかい,45713015,パクサンジュン.jpg,1
7,17,Estelle,bambooXIV,빔엑스,Defense,16,1,1,0,1,23,akihisa,45713015,Void Stars,0
7,17,DebiMarlene,keikoma,모노호시자오,Defense,16,1,1,0,0,37,LegendOfLeague,45713015,Void Stars,0
7,16,Kenneth,cruz487,하르페,Defense,15,1,1,1,0,28,舞野,45713015,Void Stars,0
8,13,Nadine,peporen,대황,Defense,11,0,0,0,0,28,Meltt,45713015,稲妻十字,0
8,15,Estelle,sukopi,스퀴테,Defense,12,0,0,0,0,17,とんとジェニー,45713015,稲妻十字,0
8,16,Hisui,かっと,엑스칼리버,Defense,15,0,0,0,0,25,HeianKYO,45713015,稲妻十字,0
