rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Xiukai, Tnsh, 트리아이나, Defense, 20, 17, 17, 6, 11, 21, , 45805447, Forsen
1, 20, Adina, Gyoo, 더문, Defense, 20, 17, 17, 7, 9, 37, , 45805447, Forsen
1, 20, Katja, Alek, 위도우 메이커-진홍, Defense, 20, 17, 17, 4, 8, 56, , 45805447, Forsen
2, 20, Rio, Meltt, 페일노트-진홍, Defense, 20, 13, 13, 5, 7, 94, Gyoo, 45805447, Toddler Gangster
2, 20, Hyejin, かとかい, 생사부, Defense, 20, 13, 13, 6, 7, 99, Gyoo, 45805447, Toddler Gangster
2, 20, Lenox, ニッキーブレーク, 글레이프니르, Defense, 20, 13, 13, 2, 10, 49, Tnsh, 45805447, Toddler Gangster
3, 20, Alex, えすみす, 호푸어드, Defense, 20, 1, 1, 1, 0, 66, Meltt, 45805447, エステル世界2位ぶにゃ
3, 20, Irem, catsR, 소이탄, Defense, 20, 1, 1, 0, 0, 43, ニッキーブレーク, 45805447, エステル世界2位ぶにゃ
3, 20, Estelle, voider26, 빔엑스, Defense, 20, 1, 1, 0, 1, 30, Meltt, 45805447, エステル世界2位ぶにゃ
4, 20, Camilo, らいらい, 환영도-진홍, Defense, 20, 5, 5, 2, 3, 79, Meltt, 45805447, いなずまっ！
4, 20, Echion, OISIIPROTEIN, 블랙맘바킹-TL, Defense, 20, 5, 5, 0, 3, 42, かとかい, 45805447, いなずまっ！
4, 20, Jenny, かっと, 하이눈, Defense, 20, 5, 5, 3, 2, 57, えすみす, 45805447, いなずまっ！
5, 20, Tia, うぇびー, 터럭손방망이, Defense, 19, 5, 5, 4, 1, 49, Gyoo, 45805447, Toddler Vivid
5, 19, Alonso, yasuoぼっと, 디바인피스트, Defense, 17, 5, 5, 0, 5, 13, らいらい, 45805447, Toddler Vivid
5, 20, Chloe, Pororoca, 수다르사나, Defense, 18, 5, 5, 1, 3, 56, Alek, 45805447, Toddler Vivid
6, 17, Emma, 灯油, 풍마수리검, Defense, 16, 4, 4, 2, 1, 26, Gyoo, 45805447, NotBeingAll
6, 17, Alonso, upalupa, 디바인피스트, Defense, 15, 4, 4, 1, 3, 18, Gyoo, 45805447, NotBeingAll
6, 17, Theodore, sLLLime, 데드아이, Defense, 17, 4, 4, 1, 3, 21, Tnsh, 45805447, NotBeingAll
7, 16, Bernice, spadeokayu, 폴라리스, Defense, 15, 1, 1, 1, 0, 21, Pororoca, 45805447, インペリアルマンモス
7, 15, Garnet, MERCURYCUBE, 스파이의우산, Defense, 15, 1, 1, 0, 0, 15, うぇびー, 45805447, インペリアルマンモス
7, 16, Celine, PuffingCat, 루테늄구슬, Defense, 15, 1, 1, 0, 1, 26, うぇびー, 45805447, インペリアルマンモス
8,13,Dummy,Dummy,대황,Defense,11,0,0,0,0,28,Meltt,45713015,Dummy
8,15,Dummy,Dummy,스퀴테,Defense,12,0,0,0,0,17,とんとジェニー,45713015,Dummy
8,16,Dummy,Dummy,엑스칼리버,Defense,15,0,0,0,0,25,HeianKYO,45713015,Dummy
