rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Arda, uzakiron, 더 데스-진홍, Defense, 20, 16, 19, 6, 9, 81, , 45841922, ジャンボ
1, 20, Garnet, minagawa, 스파이의우산, Defense, 20, 16, 19, 5, 11, 30, , 45841922, ジャンボ
1, 20, Isol, warrick, 하이눈, Defense, 20, 16, 19, 5, 11, 54, , 45841922, ジャンボ
2, 20, Darko, xKarin, 여의봉, Defense, 19, 8, 8, 1, 7, 34, minagawa, 45841922, MHW
2, 20, Barbara, PJSURF, 하이눈, Defense, 20, 8, 8, 2, 5, 55, uzakiron, 45841922, MHW
2, 20, Abigail, newtora, 진홍빛낫, Defense, 20, 8, 8, 5, 3, 44, uzakiron, 45841922, MHW
3, 20, Piolo, ここかな, 비익련리, Defense, 19, 3, 3, 3, 0, 60, , 45841922, シャルティメットストーム
3, 20, Vanya, SSPotato, 여제, Defense, 19, 3, 3, 0, 2, 47, newtora, 45841922, シャルティメットストーム
3, 19, Charlotte, 義妹シャーロット, 절제, Defense, 17, 3, 3, 0, 2, 12, , 45841922, シャルティメットストーム
5, 20, Haze, ANDyukkuri, 발키리, Defense, 19, 2, 2, 1, 1, 65, warrick, 45841922, ランクマランダムピック連打部
5, 19, Hisui, WheatDog, 다인슬라이프-진홍, Defense, 19, 2, 2, 0, 1, 34, minagawa, 45841922, ランクマランダムピック連打部
5, 19, Mai, たにし, 뇌룡편, Defense, 18, 2, 2, 1, 1, 24, minagawa, 45841922, ランクマランダムピック連打部
5, 19, Elena, 香深, 레드팬서, Defense, 16, 1, 1, 0, 1, 12, , 45841922, 亜空間タックル
5, 19, Hart, 神代レイ, 틴스피릿, Defense, 18, 1, 1, 1, 0, 44, PJSURF, 45841922, 亜空間タックル
5, 18, Darko, rauz, 여의봉, Defense, 17, 1, 1, 0, 1, 16, newtora, 45841922, 亜空間タックル
6, 18, Garnet, 花巻タコス, 스파이의우산, Defense, 17, 0, 0, 0, 0, 30, minagawa, 45841922, 悪の3兵器
6, 18, Piolo, スマートパイラー, 대소반룡곤, Defense, 16, 0, 0, 0, 0, 33, uzakiron, 45841922, 悪の3兵器
6, 18, LiDailin, 二寸法師, 단영촌천투, Defense, 17, 0, 0, 0, 0, 48, warrick, 45841922, 悪の3兵器
7, 13, Alonso, DJremushin, 아이언피스트, Defense, 11, 2, 2, 0, 2, 20, xKarin, 45841922, たぬき組
7, 13, Adina, kur1ch4n, 더스타, Defense, 12, 2, 2, 1, 1, 19, newtora, 45841922, たぬき組
7, 13, Chloe, PYP, 미치광이왕의카드, Defense, 12, 2, 2, 1, 1, 31, PJSURF, 45841922, たぬき組
