rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Chiara, かめちゃ, 노스페라투-새벽, Defense, 20, 15, 15, 5, 7, 58, , 45844010, しらすOverdrive
1, 20, Kenneth, たゆた, 반고부, Defense, 20, 15, 15, 6, 9, 45, , 45844010, しらすOverdrive
1, 20, Garnet, Game860, 마법봉, Defense, 19, 15, 15, 4, 9, 25, , 45844010, しらすOverdrive
2, 20, Aya, ゆいり, 엔데버AX, Hunt, 19, 1, 1, 1, 0, 67, かめちゃ, 45844010, ちーぎゅっ
2, 19, Yuki, 雪華ゆきあ, 다인슬라이프, Defense, 19, 1, 1, 0, 1, 21, かめちゃ, 45844010, ちーぎゅっ
2, 20, Lenox, ギュードン, 사복검, Defense, 19, 1, 1, 0, 1, 44, たゆた, 45844010, ちーぎゅっ
3, 20, Bernice, Fetch, 위도우 메이커-진홍, Defense, 20, 4, 4, 3, 1, 91, たゆた, 45844010, Coquette
3, 20, Echion, 氷雪いろは, 블랙맘바킹-FC, Defense, 19, 4, 4, 1, 3, 23, たゆた, 45844010, Coquette
3, 19, Leni, kuroha, 엘레강스, Defense, 18, 4, 4, 0, 4, 23, Game860, 45844010, Coquette
4, 19, Xiukai, ワイザム, 파산검, Defense, 18, 8, 8, 4, 4, 21, Fetch, 45844010, 真実の刃
4, 19, Alonso, サトツ, 아이언피스트, Defense, 18, 8, 8, 2, 6, 31, かめちゃ, 45844010, 真実の刃
4, 19, Magnus, 責任, 둠스데이, Defense, 18, 8, 8, 2, 3, 23, Fetch, 45844010, 真実の刃
5, 18, Piolo, レン82, 대소반룡곤, Defense, 18, 2, 2, 0, 2, 28, かめちゃ, 45844010, KDA
5, 18, Eleven, Kakyo, 천근추, Defense, 17, 2, 2, 0, 2, 16, ゆいり, 45844010, KDA
5, 18, Justyna, 青波花蓮, 팬텀 볼트, Defense, 18, 2, 2, 2, 0, 55, たゆた, 45844010, KDA
6, 19, Abigail, lafu77, 낙원의낫, Defense, 19, 7, 7, 2, 4, 35, ワイザム, 45844010, ルミネスター
6, 19, Tsubame, ひのはな, 만천화우, Defense, 19, 7, 7, 3, 4, 43, 責任, 45844010, ルミネスター
6, 19, DebiMarlene, Mimoria, 레바테인, Defense, 18, 7, 7, 2, 4, 16, 責任, 45844010, ルミネスター
7, 17, Garnet, ROURYUJP, 팔괘장, Defense, 16, 0, 0, 0, 0, 39, かめちゃ, 45844010, 面バリ固ポークマシマシCC濃いめ
7, 17, Sissela, ebisetizum, 생사부, Defense, 17, 0, 0, 0, 0, 33, たゆた, 45844010, 面バリ固ポークマシマシCC濃いめ
7, 17, Arda, kiliel, 운명의수레바퀴, Defense, 17, 0, 0, 0, 0, 49, Game860, 45844010, 面バリ固ポークマシマシCC濃いめ
8, 16, Priya, odyuuka, 헤븐즈도어, Defense, 16, 3, 3, 0, 2, 27, ワイザム, 45844010, プリプリ☆ゴリラ
8, 16, Sua, シセラガチ恋勢, 아는것이힘, Defense, 15, 3, 3, 1, 1, 27, 青波花蓮, 45844010, プリプリ☆ゴリラ
8, 15, Laura, ぽんちゃんさん, 우라누스, Defense, 15, 3, 3, 2, 1, 25, ワイザム, 45844010, プリプリ☆ゴリラ
