rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Estelle, ニッキーブレーク, 빔엑스, Defense, 20, 16, 16, 1, 13, 36, , 45930188, Toddler Gangster
1, 20, Lenore, かとかい, 헤븐즈도어, Defense, 20, 16, 16, 6, 9, 76, , 45930188, Toddler Gangster
1, 20, Rio, Meltt, 페일노트-진홍, Defense, 20, 16, 16, 9, 6, 82, , 45930188, Toddler Gangster
2, 20, Priya, じゃっきーらぶ, 헤븐즈도어, Defense, 20, 6, 6, 2, 3, 46, Meltt, 45930188, 聖帝十字陵
2, 20, Eva, 駅弁mk, 체이서, Defense, 20, 6, 6, 4, 2, 69, かとかい, 45930188, 聖帝十字陵
2, 20, Alonso, sukopi, 아이언피스트, Defense, 20, 6, 6, 0, 6, 24, Meltt, 45930188, 聖帝十字陵
3, 20, Estelle, voider26, 빔엑스, Defense, 20, 5, 5, 2, 3, 38, Meltt, 45930188, エステル世界2位ぶにゃ
3, 20, Irem, catsR, 점착폭탄, Defense, 20, 5, 5, 1, 3, 33, Meltt, 45930188, エステル世界2位ぶにゃ
3, 20, Hyejin, vaqlas, 아르테미스, Defense, 20, 5, 5, 2, 3, 42, Meltt, 45930188, エステル世界2位ぶにゃ
4, 20, Nadine, ハッピー天月, 골든래쇼보우, Defense, 20, 4, 4, 1, 3, 52, 駅弁mk, 45930188, トム_
4, 20, Yuki, ドンブレ, 아론다이트, Defense, 19, 4, 4, 0, 2, 15, 駅弁mk, 45930188, トム_
4, 20, Aya, とんとジェニー, 엔데버AX, Defense, 19, 4, 4, 3, 0, 43, 駅弁mk, 45930188, トム_
5, 19, Sissela, 漁夫カルマ, 체이서-새벽, Defense, 19, 4, 4, 1, 2, 32, Meltt, 45930188, 舞野組
5, 19, Charlotte, DEKABIGUNO, 절제, Defense, 17, 4, 4, 0, 4, 7, Meltt, 45930188, 舞野組
5, 19, Hart, 舞野, 원더풀투나잇, Defense, 19, 4, 4, 3, 1, 41, ニッキーブレーク, 45930188, 舞野組
6, 17, Rozzi, れもんだもん, 일렉트론블라스터, Defense, 17, 8, 8, 3, 3, 37, 舞野, 45930188, TBD
6, 17, Markus, Hyouya, 산타무에르떼, Defense, 16, 8, 8, 3, 1, 36, 漁夫カルマ, 45930188, TBD
6, 18, Vanya, sino1012, 여제, Defense, 17, 8, 8, 2, 6, 37, 舞野, 45930188, TBD
7, 17, Tsubame, ZEKURIP, 만천화우, Defense, 17, 9, 9, 6, 2, 23, sino1012, 45930188, チクチク梅
7, 18, Elena, レイライン, 활빈검, Defense, 16, 9, 9, 0, 7, 25, れもんだもん, 45930188, チクチク梅
7, 17, Hisui, 無双, 빛의검, Defense, 16, 9, 9, 3, 4, 36, かとかい, 45930188, チクチク梅
8, 15, Emma, 灯油, 건곤권, Defense, 16, 3, 3, 1, 2, 27, 無双, 45930188, NotBeingAll
8, 16, Mai, upalupa, 글레이프니르, Defense, 16, 3, 3, 1, 2, 24, 無双, 45930188, NotBeingAll
8, 17, Rio, sLLLime, 적궁백시, Defense, 17, 3, 3, 1, 2, 38, ZEKURIP, 45930188, NotBeingAll
