rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Nathapon, るう子, 울트라비전, Defense, 20, 9, 9, 3, 6, 30, , 46013744, せしるぷらいち
1, 20, Aiden, ハラミ, 빛의검, Defense, 20, 9, 9, 5, 4, 40, , 46013744, せしるぷらいち
1, 20, Sua, Exaneko, 피스브링어-새벽, Defense, 19, 9, 9, 1, 6, 45, , 46013744, せしるぷらいち
2, 20, Mai, upalupa, 사복검, Defense, 19, 5, 5, 0, 5, 24, るう子, 46013744, NotBeingAll
2, 20, Emma, 灯油, 건곤권, Defense, 20, 5, 5, 3, 2, 39, るう子, 46013744, NotBeingAll
2, 20, Tsubame, sLLLime, 흑련비표-진홍, Defense, 20, 5, 5, 2, 3, 71, ハラミ, 46013744, NotBeingAll
3, 20, Martina, ZEKURIP, 카메라캐논, Defense, 20, 10, 10, 4, 4, 66, 灯油, 46013744, チクチク梅
3, 20, LiDailin, レイライン, 천잠장갑, Defense, 19, 10, 10, 5, 5, 73, 灯油, 46013744, チクチク梅
3, 20, Hisui, 無双, 빛의검, Defense, 20, 10, 10, 1, 6, 62, sLLLime, 46013744, チクチク梅
4, 19, Haze, かとかい, 발키리, Defense, 19, 1, 1, 0, 1, 56, レイライン, 46013744, Toddler Gangster
4, 19, Nadine, Meltt, 혈색반월-진홍, Defense, 19, 1, 1, 1, 0, 68, 灯油, 46013744, Toddler Gangster
4, 19, Lenox, ニッキーブレーク, 글레이프니르, Defense, 17, 1, 1, 0, 1, 23, sLLLime, 46013744, Toddler Gangster
5, 18, Jenny, とんとジェニー, 알타이르, Defense, 17, 11, 11, 3, 8, 31, ZEKURIP, 46013744, 舞野組
5, 18, Elena, HeianKYO, 활빈검, Defense, 17, 11, 11, 3, 7, 36, ZEKURIP, 46013744, 舞野組
5, 17, Adriana, 舞野, 아스트라페, Defense, 17, 11, 11, 5, 6, 26, レイライン, 46013744, 舞野組
6, 16, Aya, 3y3s, 엔데버AX, Defense, 16, 5, 5, 1, 3, 35, HeianKYO, 46013744, Out of Control
6, 16, Mai, みゅーき, 글레이프니르, Defense, 15, 5, 5, 1, 3, 19, 舞野, 46013744, Out of Control
6, 16, Hyejin, thato, 옥전결, Defense, 16, 5, 5, 3, 2, 48, とんとジェニー, 46013744, Out of Control
7, 15, Emma, れもんだもん, 풍마수리검, Hunt, 14, 1, 1, 1, 0, 41, ZEKURIP, 46013744, TBD
7, 16, Nathapon, sino1012, 울트라비전, Defense, 15, 1, 1, 0, 1, 47, レイライン, 46013744, TBD
7, 15, Eleven, Hyouya, 천근추, Defense, 13, 1, 1, 0, 1, 22, ZEKURIP, 46013744, TBD
8, 9, Camilo, らいらい, 볼틱레토, Defense, 6, 1, 1, 0, 1, 2, ハラミ, 46013744, いにゃずにゃ
8, 9, Priya, vaqlas, 퍼플헤이즈, Defense, 5, 1, 1, 1, 0, 17, ハラミ, 46013744, いにゃずにゃ
8, 9, Piolo, voider26, 대소반룡곤, Defense, 4, 1, 1, 0, 0, 9, ハラミ, 46013744, いにゃずにゃ
