rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Priya, じゃっきーらぶ, 헤븐즈도어, Defense, 20, 5, 5, 1, 4, 54, , 46013823, 聖帝十字陵
1, 20, Markus, sukopi, 반고부, Defense, 20, 5, 5, 2, 3, 39, , 46013823, 聖帝十字陵
1, 20, Aya, peporen, 엔데버AX, Defense, 20, 5, 5, 2, 3, 35, , 46013823, 聖帝十字陵
2, 20, Justyna, uzakiron, 혈색반월-새벽, Defense, 20, 12, 12, 9, 3, 82, peporen, 46013823, 家族_
2, 20, Charlotte, DEKABIGUNO, 절제, Defense, 20, 12, 12, 0, 12, 18, じゃっきーらぶ, 46013823, 家族_
2, 20, Lenox, minagawa, 혈화구절편-새벽, Defense, 20, 12, 12, 3, 9, 46, sukopi, 46013823, 家族_
3, 20, Jan, 混沌の闇ヤスオ, 택티컬톤파, Defense, 20, 9, 9, 1, 6, 42, Sucyone, 46013823, TRANSAM
3, 20, Hart, ぷれこーーーーる, 원더풀투나잇, Defense, 20, 9, 9, 4, 3, 32, uzakiron, 46013823, TRANSAM
3, 20, Eva, YoNeaKy, 체이서-새벽, Defense, 20, 9, 9, 4, 4, 36, minagawa, 46013823, TRANSAM
4, 20, Haze, RQQQQ, 발키리, Hunt, 20, 4, 4, 2, 2, 59, uzakiron, 46013823, 伝説の中西
4, 20, Chloe, サーモン中西, 수다르사나, Defense, 20, 4, 4, 0, 1, 41, ぷれこーーーーる, 46013823, 伝説の中西
4, 20, Leon, Sucyone, 프로스트팽, Defense, 20, 4, 4, 2, 1, 23, YoNeaKy, 46013823, 伝説の中西
5, 20, Darko, レヴナ, 여의봉, Defense, 19, 6, 6, 3, 3, 26, uzakiron, 46013823, Toddler Ghost
5, 20, Elena, 冷害, 미스틸테인, Defense, 20, 6, 6, 3, 2, 35, ぷれこーーーーる, 46013823, Toddler Ghost
5, 20, Rozzi, CiELzzz, 하이눈, Defense, 20, 6, 6, 0, 6, 55, YoNeaKy, 46013823, Toddler Ghost
6, 20, Bernice, Sitiyoh, 위도우 메이커-진홍, Hunt, 20, 2, 2, 2, 0, 112, RQQQQ, 46013823, 夢旅キャリーライス
6, 20, Isaac, Twitchtatsuo0308, 홀스터톤파, Defense, 18, 2, 2, 0, 1, 22, uzakiron, 46013823, 夢旅キャリーライス
6, 20, Mai, へるた, 글레이프니르, Defense, 18, 2, 2, 0, 2, 24, Sucyone, 46013823, 夢旅キャリーライス
7, 18, Lyanh, デスガキ, 카른웬난, Defense, 17, 4, 4, 2, 2, 40, RQQQQ, 46013823, Marine Delight
7, 17, Leni, berryrabbit, 스탬피드, Defense, 15, 4, 4, 0, 4, 7, uzakiron, 46013823, Marine Delight
7, 18, Markus, おぼろづき米, 산타무에르떼, Defense, 16, 4, 4, 2, 1, 14, minagawa, 46013823, Marine Delight
8, 20, Laura, コメダの泥水, 우라누스, Defense, 19, 1, 1, 0, 1, 42, 冷害, 46013823, 大韓民国大愛好家
8, 18, Tia, saimina, 터럭손방망이, Defense, 18, 1, 1, 1, 0, 43, 冷害, 46013823, 大韓民国大愛好家
8, 19, Kenneth, たまご, 반고부, Defense, 18, 1, 1, 0, 1, 45, YoNeaKy, 46013823, 大韓民国大愛好家
