rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Hart, ハッピー天月, 하트 브레이커-진홍, Defense, 20, 20, 20, 10, 7, 43, , 46360615, Out of Control
1, 20, Alonso, thato, 디바인피스트, Defense, 19, 20, 20, 3, 12, 38, , 46360615, Out of Control
1, 20, Lenore, い力, 하트 브레이커-새벽, Defense, 20, 20, 20, 7, 10, 66, , 46360615, Out of Control
2, 20, Piolo, MaTfromDota2, 비익련리, Defense, 20, 14, 14, 3, 10, 38, ハッピー天月, 46360615, おっとっと
2, 20, Emma, 冷害, 건곤권, Defense, 20, 14, 14, 4, 9, 31, ハッピー天月, 46360615, おっとっと
2, 20, Chiara, OISIIPROTEIN, 노스페라투-새벽, Defense, 20, 14, 14, 7, 7, 28, い力, 46360615, おっとっと
3, 20, Emma, 灯油, 건곤권, Defense, 20, 5, 5, 2, 3, 55, MaTfromDota2, 46360615, NotBeingAll
3, 20, Mai, upalupa, 글레이프니르, Defense, 19, 5, 5, 0, 4, 43, OISIIPROTEIN, 46360615, NotBeingAll
3, 20, Tsubame, sLLLime, 만천화우, Defense, 20, 5, 5, 3, 2, 62, OISIIPROTEIN, 46360615, NotBeingAll
4, 20, Irem, 舞野, 파이어볼, Defense, 19, 5, 5, 2, 2, 27, 灯油, 46360615, 舞野組
4, 20, Hyejin, vaqlas, 골든래쇼보우, Defense, 20, 5, 5, 2, 3, 54, thato, 46360615, 舞野組
4, 20, Vanya, マーカスの大胸筋, 여제, Defense, 20, 5, 5, 1, 3, 46, MaTfromDota2, 46360615, 舞野組
5, 19, Estelle, みゅーき, 빔엑스, Defense, 18, 2, 2, 1, 1, 32, OISIIPROTEIN, 46360615, 卵吸収装置
5, 19, Lyanh, らいらい, 마하라자, Defense, 18, 2, 2, 0, 1, 31, 冷害, 46360615, 卵吸収装置
5, 20, Adina, たまご, 더문, Defense, 20, 2, 2, 1, 1, 43, 冷害, 46360615, 卵吸収装置
6, 17, Xiukai, レイライン, 트리아이나, Defense, 15, 2, 2, 0, 2, 18, い力, 46360615, チクチク梅
6, 18, Hisui, 無双, 빛의검, Hunt, 18, 2, 2, 1, 1, 80, い力, 46360615, チクチク梅
6, 18, Martina, ZEKURIP, 카메라캐논, Defense, 17, 2, 2, 1, 1, 27, ハッピー天月, 46360615, チクチク梅
7, 13, Echion, kemiko, 블랙맘바킹-TL, Defense, 11, 2, 2, 1, 1, 26, ハッピー天月, 46360615, OverThrow
7, 13, Vanya, sino1012, 더스타, Defense, 11, 2, 2, 0, 1, 20, ハッピー天月, 46360615, OverThrow
7, 13, Rozzi, れもんだもん, 일렉트론블라스터, Defense, 11, 2, 2, 1, 0, 28, い力, 46360615, OverThrow
8, 10, Piolo, SanrioPiololand, 대소반룡곤, Defense, 7, 2, 2, 2, 0, 15, ハッピー天月, 46360615, DEKABIG-C
8, 10, Charlotte, DEKABIGUNO, 절제, Defense, 5, 2, 2, 0, 1, 2, ハッピー天月, 46360615, DEKABIG-C
8, 11, Hisui, Pinzou, 모노호시자오, Defense, 7, 2, 2, 0, 2, 10, ハッピー天月, 46360615, DEKABIG-C
