rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 20, Katja, えすみす, 위도우 메이커-진홍, Defense, 20, 14, 14, 10, 4, 7, 5, 61, , 46448889, エステル世界2位ぶにゃ
1, 20, Estelle, voider26, 진홍빛낫, Defense, 20, 14, 14, 10, 4, 4, 9, 41, , 46448889, エステル世界2位ぶにゃ
1, 19, Nicky, vaqlas, 아이언피스트, Defense, 20, 14, 14, 10, 4, 3, 8, 42, , 46448889, エステル世界2位ぶにゃ
2, 20, Camilo, らいらい, 간장과막야, Defense, 20, 13, 13, 8, 5, 9, 3, 51, えすみす, 46448889, パクサンジュンVSエミネム
2, 19, Mai, みゅーき, 글레이프니르, Defense, 19, 13, 13, 8, 5, 2, 9, 16, voider26, 46448889, パクサンジュンVSエミネム
2, 19, Adina, 포도쨈, 더문, Defense, 20, 13, 13, 8, 5, 2, 9, 38, vaqlas, 46448889, パクサンジュンVSエミネム
3, 19, Lyanh, thato, 비색단검, Defense, 20, 18, 18, 12, 6, 9, 6, 70, vaqlas, 46448889, Syuri?
3, 19, Isol, 前ブリンクうまお, 저지먼트, Defense, 20, 18, 18, 12, 6, 8, 8, 58, えすみす, 46448889, Syuri?
3, 19, Johann, 3y3s, 더썬, Defense, 19, 18, 18, 12, 6, 1, 15, 24, えすみす, 46448889, Syuri?
4, 18, Leon, sino1012, 프로스트팽, Defense, 18, 5, 5, 1, 4, 3, 2, 48, vaqlas, 46448889, OverThrow
4, 19, Rozzi, れもんだもん, 일렉트론블라스터, Defense, 19, 5, 5, 1, 4, 0, 3, 57, 3y3s, 46448889, OverThrow
4, 18, Echion, kemiko, 블랙맘바킹-TL, Defense, 18, 5, 5, 1, 4, 2, 2, 32, voider26, 46448889, OverThrow
5, 19, Piolo, 混沌の闇ヤスオ, 비익련리, Defense, 19, 2, 2, 2, 0, 1, 1, 44, 포도쨈, 46448889, TRANSAM
5, 19, William, ぷれこーーーーる, 안티오크의수류탄, Defense, 19, 2, 2, 2, 0, 1, 1, 51, らいらい, 46448889, TRANSAM
5, 19, Priya, YoNeaKy, 헤븐즈도어, Defense, 19, 2, 2, 2, 0, 0, 2, 47, らいらい, 46448889, TRANSAM
6, 17, Chloe, ZEKURIP, 플레솃, Hunt, 17, 0, 0, 0, 0, 0, 0, 59, ぷれこーーーーる, 46448889, チクチク梅
6, 18, Luke, レイライン, 여의봉, Defense, 17, 0, 0, 0, 0, 0, 0, 28, kemiko, 46448889, チクチク梅
6, 18, Nicky, 無双, 아이언피스트, Defense, 17, 0, 0, 0, 0, 0, 0, 31, えすみす, 46448889, チクチク梅
7, 18, DebiMarlene, レヴナ, 레바테인, Defense, 18, 3, 3, 1, 2, 1, 1, 27, thato, 46448889, かっこかり
7, 19, Laura, Drizzle1911, 우라누스, Hunt, 19, 3, 3, 1, 2, 1, 1, 67, thato, 46448889, かっこかり
7, 18, Sua, Exaneko, 개밥바라기, Defense, 18, 3, 3, 1, 2, 1, 0, 39, thato, 46448889, かっこかり
8, 18, Echion, OISIIPROTEIN, 블랙맘바킹-TL, Defense, 17, 5, 5, 0, 5, 0, 4, 33, 前ブリンクうまお, 46448889, おっとっと
8, 16, Lyanh, うぃくらいん, 프라가라흐, Defense, 16, 5, 5, 0, 5, 1, 4, 36, らいらい, 46448889, おっとっと
8, 17, Lenore, MaTfromDota2, 퍼플헤이즈, Defense, 17, 5, 5, 0, 5, 4, 1, 41, 前ブリンクうまお, 46448889, おっとっと
