rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 19, Eleven, ドンブレ, 다그다의망치, Defense, 18, 11, 11, 10, 1, 2, 9, 31, , 46582751, 約束のネマーランド
1, 19, Celine, ymt, 체이서, Defense, 20, 11, 11, 10, 1, 3, 8, 40, , 46582751, 約束のネマーランド
1, 19, Eva, YoNeaKy, 체이서, Defense, 20, 11, 11, 10, 1, 6, 5, 56, , 46582751, 約束のネマーランド
2, 19, Chiara, れぐるす, 아르고스의눈, Defense, 19, 6, 6, 4, 2, 1, 5, 58, ymt, 46582751, ERN
2, 18, Garnet, Nacoty, 스파이의우산, Defense, 17, 6, 6, 4, 2, 3, 1, 21, YoNeaKy, 46582751, ERN
2, 20, Jenny, 駅弁mk, 하이눈, Defense, 19, 6, 6, 4, 2, 2, 3, 61, ymt, 46582751, ERN
3, 18, William, ぷれこーーーーる, 안티오크의수류탄, Defense, 18, 10, 10, 7, 3, 1, 4, 34, 駅弁mk, 46582751, デギズマン
3, 19, Kenneth, upalupa, 반고부, Defense, 20, 10, 10, 7, 3, 7, 3, 43, YoNeaKy, 46582751, デギズマン
3, 18, Nicky, 鈴木リコリス, 빙화현옥수, Defense, 18, 10, 10, 7, 3, 2, 7, 34, ドンブレ, 46582751, デギズマン
4, 19, Leon, sino1012, 프로스트팽, Defense, 18, 13, 13, 2, 11, 6, 3, 45, 駅弁mk, 46582751, エタリタ老人会
4, 15, Charlotte, 統計情報局員, 절제, Defense, 13, 13, 13, 2, 11, 0, 10, 14, ヴィルヴィ, 46582751, エタリタ老人会
4, 17, Hart, れもんだもん, 원더풀투나잇, Defense, 17, 13, 13, 2, 11, 7, 6, 36, upalupa, 46582751, エタリタ老人会
5, 19, Irem, catsR, 파이어볼, Defense, 19, 10, 10, 3, 7, 5, 3, 58, れぐるす, 46582751, CR PlaZma
5, 18, Markus, taiga7810, 반고부, Defense, 17, 10, 10, 3, 7, 2, 7, 15, YoNeaKy, 46582751, CR PlaZma
5, 19, Lenore, 一杯酒気, 헤븐즈도어, Defense, 19, 10, 10, 3, 7, 3, 5, 30, upalupa, 46582751, CR PlaZma
6, 18, Elena, 冷害, 활빈검, Defense, 17, 1, 1, 0, 1, 1, 0, 25, 一杯酒気, 46582751, Toddler Ghost
6, 18, DebiMarlene, レヴナ, 레바테인, Defense, 17, 1, 1, 0, 1, 0, 1, 34, catsR, 46582751, Toddler Ghost
6, 19, Rozzi, CiELzzz, 악켈테, Hunt, 18, 1, 1, 0, 1, 0, 1, 77, taiga7810, 46582751, Toddler Ghost
7, 18, Abigail, ヴィルヴィ, 빔엑스, Defense, 17, 4, 4, 4, 0, 1, 3, 50, upalupa, 46582751, Slash Panzer
7, 19, Vanya, Surfinia, 여제, Defense, 19, 4, 4, 4, 0, 1, 3, 62, upalupa, 46582751, Slash Panzer
7, 17, Leon, Sucyone, 프로스트팽, Defense, 17, 4, 4, 4, 0, 2, 2, 39, upalupa, 46582751, Slash Panzer
8, 14, Chloe, サーモン中西, 수다르사나, Defense, 13, 4, 4, 0, 4, 1, 0, 22, sino1012, 46582751, 護鎖刃銃槍ガルホート
8, 13, Leon, LORDofVERMILION, 빙화현옥수, Defense, 13, 4, 4, 0, 4, 1, 1, 14, YoNeaKy, 46582751, 護鎖刃銃槍ガルホート
8, 14, Camilo, 混沌の闇ヤスオ, 디오스쿠로이, Defense, 13, 4, 4, 0, 4, 2, 1, 30, YoNeaKy, 46582751, 護鎖刃銃槍ガルホート
