rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,total field kill,team kill,team kill normal,team kill autoresurrection,kill,assist,hunting,killer,gameId,teamName
1,19,Hyejin,vaqlas,페일노트-새벽,Defense,19,7,7,3,4,4,1,62,,46932729,ほとんど無害
1,19,Echion,kemiko,블랙맘바킹-TL,Defense,19,7,7,3,4,1,4,55,,46932729,ほとんど無害
1,19,Estelle,voider26,낙원의낫,Defense,19,7,7,3,4,2,5,34,,46932729,ほとんど無害
2,20,Leon,sino1012,프로스트팽,Defense,19,13,13,12,1,3,7,46,kemiko,46932729,OverThrow
2,20,Rozzi,れもんだもん,하이눈,Defense,20,13,13,12,1,4,7,74,voider26,46932729,OverThrow
2,20,Sua,Exaneko,둠스데이,Defense,20,13,13,12,1,6,6,59,vaqlas,46932729,OverThrow
3,20,Justyna,かとかい,팬텀 볼트,Defense,20,10,10,8,2,4,5,45,れもんだもん,46932729,Toddler Gangster
3,19,Nadine,Meltt,페일노트,Defense,20,10,10,8,2,6,4,45,Exaneko,46932729,Toddler Gangster
3,19,Emma,Prushka,풍마수리검,Defense,19,10,10,8,2,0,8,50,sino1012,46932729,Toddler Gangster
4,18,Adela,둥둥,아르고스의눈,Defense,19,13,13,8,5,5,6,41,かとかい,46932729,Rage0day
4,19,Emma,미스트,건곤권,Defense,20,13,13,8,5,6,4,67,Meltt,46932729,Rage0day
4,18,Cathy,HYEINSEO,월식,Defense,18,13,13,8,5,2,5,32,無双,46932729,Rage0day
5,18,Elena,灯油,레드팬서,Defense,18,11,11,6,5,0,7,34,れもんだもん,46932729,NotBeingAll
5,18,Rozzi,たまねぎ2nd,일렉트론블라스터,Defense,18,11,11,6,5,6,3,40,Exaneko,46932729,NotBeingAll
5,18,Martina,sLLLime,비전 플렉스-진홍,Defense,19,11,11,6,5,5,6,32,れもんだもん,46932729,NotBeingAll
6,18,Estelle,レイライン,빔엑스,Defense,17,9,9,2,7,2,5,17,미스트,46932729,チクチク梅
6,18,Katja,ZEKURIP,안드로메다,Defense,18,9,9,2,7,2,5,38,미스트,46932729,チクチク梅
6,18,Sua,無双,낭아봉,Defense,18,9,9,2,7,5,3,39,미스트,46932729,チクチク梅
7,16,Lyanh,thato,카른웬난,Defense,15,7,7,2,5,3,3,17,かとかい,46932729,Out of Control
7,18,Echion,い力,블랙맘바킹-TL,Defense,16,7,7,2,5,1,4,25,Exaneko,46932729,Out of Control
7,17,Bianca,みゅーき,더문,Defense,17,7,7,2,5,3,4,51,Meltt,46932729,Out of Control
8,14,Rio,作楽朔,트윈보우,Defense,13,3,3,1,2,1,2,47,かとかい,46932729,Omakase
8,14,Lenox,MaTfromDota2,뇌룡편,Defense,12,3,3,1,2,0,1,28,Meltt,46932729,Omakase
8,13,Alex,BLUNA,미치광이왕의카드,Defense,12,3,3,1,2,2,1,25,Meltt,46932729,Omakase
