rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 19, Nadine, konikonikoni, 페일노트, Defense, 20, 13, 13, 13, 0, 9, 4, 45, , 46975550, 狼猛襲
1, 19, Priya, odyuuka, 퍼플헤이즈, Defense, 19, 13, 13, 13, 0, 2, 11, 36, , 46975550, 狼猛襲
1, 19, Estelle, kuroha, 빔엑스, Defense, 18, 13, 13, 13, 0, 2, 10, 21, , 46975550, 狼猛襲
2, 20, Haze, たゆた, 발키리, Defense, 20, 8, 8, 7, 1, 3, 4, 62, odyuuka, 46975550, TripleR
2, 19, Markus, ぽんちゃんさん, 반고부, Defense, 18, 8, 8, 7, 1, 1, 7, 21, konikonikoni, 46975550, TripleR
2, 19, Nadine, greatSolt, 혈색반월-진홍, Defense, 20, 8, 8, 7, 1, 4, 3, 65, konikonikoni, 46975550, TripleR
3, 19, Nadine, kur1ch4n, 골든래쇼보우, Defense, 19, 9, 9, 3, 6, 5, 3, 66, konikonikoni, 46975550, 私とりんご穏健派
3, 18, Chloe, PYP, 수다르사나, Defense, 17, 9, 9, 3, 6, 3, 3, 48, hako72, 46975550, 私とりんご穏健派
3, 18, Mai, hato88, 뇌룡편, Defense, 17, 9, 9, 3, 6, 1, 8, 38, konikonikoni, 46975550, 私とりんご穏健派
4, 18, Yuki, kiliel, 엑스칼리버, Defense, 17, 0, 0, 0, 0, 0, 0, 15, kur1ch4n, 46975550, ルミア島リサーチセンター
4, 17, Darko, rauz, 구원의여신상, Defense, 17, 0, 0, 0, 0, 0, 0, 32, れぐるす, 46975550, ルミア島リサーチセンター
4, 19, Justyna, ハクレイ, 팬텀 볼트, Hunt, 18, 0, 0, 0, 0, 0, 0, 50, konikonikoni, 46975550, ルミア島リサーチセンター
5, 17, Lenore, RadioDaemon, 하트 브레이커-새벽, Defense, 17, 7, 7, 3, 4, 1, 5, 50, Nacoty, 46975550, 佐川大根
5, 18, Luke, Latesummerr, 여의봉, Defense, 18, 7, 7, 3, 4, 5, 2, 57, kur1ch4n, 46975550, 佐川大根
5, 17, Alonso, ジェノ, 디바인피스트, Defense, 15, 7, 7, 3, 4, 1, 5, 27, odyuuka, 46975550, 佐川大根
6, 19, Lenox, Nacoty, 뇌룡편, Defense, 18, 9, 9, 4, 5, 1, 6, 29, greatSolt, 46975550, GGXD
6, 19, Rio, hako72, 페일노트-진홍, Hunt, 20, 9, 9, 4, 5, 4, 4, 86, たゆた, 46975550, GGXD
6, 19, Luke, れぐるす, 여의봉, Defense, 18, 9, 9, 4, 5, 4, 4, 29, たゆた, 46975550, GGXD
7, 18, Aya, 神代レイ, 매그넘-보아, Defense, 17, 2, 2, 0, 2, 0, 1, 38, kuroha, 46975550, ほならば咲耶姫
7, 17, Alonso, honarane, 디바인피스트, Defense, 16, 2, 2, 0, 2, 0, 2, 13, greatSolt, 46975550, ほならば咲耶姫
7, 18, Lenore, HaruSakuragi, 헤븐즈도어, Defense, 18, 2, 2, 0, 2, 2, 0, 16, たゆた, 46975550, ほならば咲耶姫
8, 17, Charlotte, 義妹, 절제, Defense, 16, 4, 4, 1, 3, 0, 4, 12, konikonikoni, 46975550, シャルティメットストーム
8, 18, Vanya, SSPotato, 여제, Defense, 17, 4, 4, 1, 3, 1, 2, 36, greatSolt, 46975550, シャルティメットストーム
8, 18, Hisui, ここかな, 빛의검, Defense, 18, 4, 4, 1, 3, 3, 1, 63, konikonikoni, 46975550, シャルティメットストーム
