
rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 20, Hisui, もなぞう, 빛의검, Defense, 20, 13, 13, 13, 0, 3, 8, 50, , 46971895, ジャンボ
1, 20, Garnet, shimo1415, 스파이의우산, Defense, 20, 13, 13, 13, 0, 2, 10, 33, , 46971895, ジャンボ
1, 20, Arda, uzakiron, 더 데스-진홍, Defense, 20, 13, 13, 13, 0, 8, 3, 113, , 46971895, ジャンボ
2, 20, Adela, ドリルフィールド, 로드 오브 하트-새벽, Defense, 19, 7, 7, 6, 1, 0, 3, 57, uzakiron, 46971895, えびグラ団
2, 20, Vanya, ysd, 더 데스-새벽, Defense, 20, 7, 7, 6, 1, 6, 1, 53, uzakiron, 46971895, えびグラ団
2, 20, Estelle, shrimpgratin, 빔엑스, Defense, 18, 7, 7, 6, 1, 1, 3, 38, uzakiron, 46971895, えびグラ団
3, 20, Chloe, guppy63, 플레솃, Defense, 20, 9, 9, 8, 1, 4, 2, 48, ysd, 46971895, 最強★Love_&_Peace
3, 19, Mai, chainin, 글레이프니르, Defense, 19, 9, 9, 8, 1, 2, 7, 19, ysd, 46971895, 最強★Love_&_Peace
3, 20, Camilo, Atato, 디오스쿠로이, Defense, 20, 9, 9, 8, 1, 3, 5, 52, ysd, 46971895, 最強★Love_&_Peace
4, 20, Markus, 現役JC, 반고부, Defense, 19, 5, 5, 3, 2, 0, 4, 38, uzakiron, 46971895, Nimmt55
4, 20, YuMin, EXOSKULLZERO, 더문, Defense, 19, 5, 5, 3, 2, 2, 1, 62, uzakiron, 46971895, Nimmt55
4, 20, Rio, isemaki, 페일노트-진홍, Defense, 20, 5, 5, 3, 2, 3, 2, 75, shimo1415, 46971895, Nimmt55
5, 19, Lenore, soku510, 헤븐즈도어, Defense, 19, 3, 3, 1, 2, 1, 2, 47, もなぞう, 46971895, ばなな組
5, 19, Markus, 十二連火炎ブレス, 반고부, Defense, 18, 3, 3, 1, 2, 1, 1, 28, もなぞう, 46971895, ばなな組
5, 18, Katja, Yggdra1, 안드로메다, Defense, 18, 3, 3, 1, 2, 1, 1, 47, uzakiron, 46971895, ばなな組
6, 18, Rio, 都築そろVT, 페일노트-진홍, Defense, 18, 3, 3, 2, 1, 2, 1, 63, Atato, 46971895, Serendipity
6, 17, Nicky, Magnen, 디바인피스트, Defense, 16, 3, 3, 2, 1, 0, 3, 30, guppy63, 46971895, Serendipity
6, 17, DebiMarlene, Fetch, 레바테인, Defense, 16, 3, 3, 2, 1, 1, 2, 24, guppy63, 46971895, Serendipity
7, 15, Hisui, arikA0331, 빛의검, Defense, 15, 4, 4, 2, 2, 2, 2, 36, Atato, 46971895, おさんぽオンライン
7, 14, Arda, ankod, 더스타, Defense, 14, 4, 4, 2, 2, 1, 2, 31, chainin, 46971895, おさんぽオンライン
7, 15, DebiMarlene, いのりの牛, 아론다이트, Defense, 13, 4, 4, 2, 2, 1, 2, 8, guppy63, 46971895, おさんぽオンライン
