rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 19, Mai, upalupa, 우라누스, Defense, 18, 3, 3, 3, 0, 0, 3, 32, , 47371535, NotBeingAll
1, 20, Felix, たまねぎ2nd, 롱기누스의 창-진홍, Defense, 20, 3, 3, 3, 0, 1, 2, 83, , 47371535, NotBeingAll
1, 19, Adina, sLLLime, 더문, Defense, 19, 3, 3, 3, 0, 2, 1, 19, , 47371535, NotBeingAll
2, 19, Alex, たまこん, 일렉트론블라스터, Defense, 19, 16, 16, 14, 2, 4, 9, 30, sLLLime, 47371535, たかし
2, 19, Markus, レイ様, 반고부, Defense, 19, 16, 16, 14, 2, 5, 11, 18, sLLLime, 47371535, たかし
2, 20, YuMin, お豆腐の匠, 더 데스-새벽, Defense, 20, 16, 16, 14, 2, 7, 7, 50, たまねぎ2nd, 47371535, たかし
3, 18, Markus, mukkoro, 반고부, Defense, 17, 0, 0, 0, 0, 0, 0, 35, お豆腐の匠, 47371535, Toddler Ghost
3, 19, Istvan, レヴナ, 청룡언월도, Defense, 18, 0, 0, 0, 0, 0, 0, 51, たまこん, 47371535, Toddler Ghost
3, 19, Justyna, 冷害, 팬텀 볼트, Hunt, 18, 0, 0, 0, 0, 0, 0, 75, たまこん, 47371535, Toddler Ghost
4, 19, Jackie, 照る坊主, 환영도-진홍, Hunt, 18, 4, 4, 2, 2, 0, 3, 47, お豆腐の匠, 47371535, J2K
4, 18, DebiMarlene, Istria0, 레바테인, Defense, 18, 4, 4, 2, 2, 2, 1, 38, レイ様, 47371535, J2K
4, 19, Katja, ななしの, 안드로메다, Hunt, 19, 4, 4, 2, 2, 2, 2, 65, レイ様, 47371535, J2K
5, 18, Elena, HeianKYO, 미스틸테인, Defense, 17, 5, 5, 3, 2, 0, 5, 42, レイ様, 47371535, †神縫合†
5, 17, Chloe, rosen, 수다르사나, Defense, 17, 5, 5, 3, 2, 3, 1, 32, お豆腐の匠, 47371535, †神縫合†
5, 17, Jenny, kawaiiOTP, 알타이르, Defense, 17, 5, 5, 3, 2, 2, 2, 52, たまこん, 47371535, †神縫合†
6, 16, William, ぷれこーーーーる, 안티오크의수류탄, Defense, 16, 5, 5, 4, 1, 3, 1, 36, お豆腐の匠, 47371535, 兵器ブリオン
6, 16, Garnet, ヴィルヴィ, 스파이의우산, Defense, 15, 5, 5, 4, 1, 1, 3, 23, お豆腐の匠, 47371535, 兵器ブリオン
6, 17, Jan, C4storice, 흑요석짓테, Defense, 16, 5, 5, 4, 1, 1, 4, 50, たまこん, 47371535, 兵器ブリオン
7, 15, Chloe, サーモン中西, 미치광이왕의카드, Defense, 14, 1, 1, 1, 0, 1, 0, 37, お豆腐の匠, 47371535, 伝説の中西
7, 15, Leon, Sucyone, 흑요석짓테, Defense, 13, 1, 1, 1, 0, 0, 1, 19, ヴィルヴィ, 47371535, 伝説の中西
7, 15, Adriana, ymt, 루테늄구슬, Defense, 15, 1, 1, 1, 0, 0, 1, 57, ぷれこーーーーる, 47371535, 伝説の中西
