rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, team kill normal, team kill autoresurrection, kill, assist, hunting, killer, gameId, teamName
1, 19, Johann, うぃくらいん, 더썬, Defense, 19, 14, 14, 14, 0, 1, 12, 19, , 47588383, ほーんてっどまんしょん
1, 19, Bernice, Dorago, 안드로메다, Defense, 20, 14, 14, 14, 0, 6, 7, 91, , 47588383, ほーんてっどまんしょん
1, 19, Chiara, OISIIPROTEIN, 노스페라투-새벽, Defense, 20, 14, 14, 14, 0, 7, 5, 49, , 47588383, ほーんてっどまんしょん
2, 19, Darko, レヴナ, 여의봉, Defense, 19, 11, 11, 10, 1, 6, 5, 49, OISIIPROTEIN, 47588383, Toddler Ghost
2, 19, Elena, 冷害, 노스페라투, Defense, 20, 11, 11, 10, 1, 2, 8, 45, OISIIPROTEIN, 47588383, Toddler Ghost
2, 20, Hart, CiELzzz, 하트 브레이커-진홍, Defense, 20, 11, 11, 10, 1, 3, 6, 56, Dorago, 47588383, Toddler Ghost
3, 18, Nicky, ニッキーブレーク, 빙화현옥수, Defense, 18, 9, 9, 6, 3, 3, 4, 13, OISIIPROTEIN, 47588383, Toddler Gangster
3, 19, Adela, かとかい, 아르고스의눈, Defense, 19, 9, 9, 6, 3, 4, 5, 54, うぃくらいん, 47588383, Toddler Gangster
3, 19, Sua, Prushka, 둠스데이, Defense, 18, 9, 9, 6, 3, 2, 6, 31, Dorago, 47588383, Toddler Gangster
4, 17, Garnet, きまき, 스파이의우산, Defense, 16, 2, 2, 1, 1, 1, 0, 42, かとかい, 47588383, Brainstorm
4, 17, Irem, Dato2, 아스트라페, Defense, 17, 2, 2, 1, 1, 1, 1, 53, ニッキーブレーク, 47588383, Brainstorm
4, 18, DebiMarlene, syon1222, 레바테인, Defense, 16, 2, 2, 1, 1, 0, 2, 25, かとかい, 47588383, Brainstorm
5, 17, LiDailin, Hyouya, 단영촌천투, Defense, 16, 3, 3, 2, 1, 1, 0, 24, レヴナ, 47588383, TBD
5, 17, Fiora, harao, 아르고스의눈, Defense, 17, 3, 3, 2, 1, 2, 1, 59, CiELzzz, 47588383, TBD
5, 17, Bernice, ドンブレ, 폴라리스, Defense, 17, 3, 3, 2, 1, 0, 1, 60, 冷害, 47588383, TBD
6, 16, Emma, 灯油, 건곤권, Defense, 15, 2, 2, 1, 1, 0, 1, 31, harao, 47588383, NotBeingAll
6, 16, Elena, sLLLime, 활빈검, Defense, 16, 2, 2, 1, 1, 1, 1, 30, OISIIPROTEIN, 47588383, NotBeingAll
6, 16, Piolo, upalupa, 비익련리, Defense, 16, 2, 2, 1, 1, 1, 1, 24, Dorago, 47588383, NotBeingAll
7, 15, Martina, chillout, 카메라캐논, Defense, 15, 5, 5, 3, 2, 3, 1, 28, Dorago, 47588383, NoName
7, 15, Camilo, wowaka, 간장과막야, Defense, 15, 5, 5, 3, 2, 1, 3, 38, OISIIPROTEIN, 47588383, NoName
7, 14, Elena, ChainsawLady, 활빈검, Defense, 13, 5, 5, 3, 2, 1, 3, 18, OISIIPROTEIN, 47588383, NoName
8, 9, William, ぷれこーーーーる, 연막탄, Defense, 7, 0, 0, 0, 0, 0, 0, 9, chillout, 47588383, 兵器ブリオン
8, 9, Garnet, ヴィルヴィ, 스파이의우산, Defense, 6, 0, 0, 0, 0, 0, 0, 6, ChainsawLady, 47588383, 兵器ブリオン
8, 9, Jan, C4storice, 택티컬톤파, Defense, 8, 0, 0, 0, 0, 0, 0, 26, chillout, 47588383, 兵器ブリオン
