rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 19, Charlotte, レイ様, 절제, Defense, 18, 13, 13, 10, 2, 0, 1, 0, 0, 13, 7, , 47707794, たかし, 22, 10, 12
1, 20, Shoichi, たまこん, 비색단검, Defense, 20, 13, 13, 10, 2, 0, 1, 0, 8, 4, 53, , 47707794, たかし, 22, 10, 12
1, 20, Kenneth, お豆腐の匠, 반고부, Defense, 20, 13, 13, 10, 2, 0, 1, 0, 5, 4, 34, , 47707794, たかし, 22, 10, 12
2, 19, Isol, 冷害, 헬파이어-진홍, Defense, 20, 10, 10, 6, 2, 0, 2, 0, 7, 3, 62, たまこん, 47707794, Toddler Ghost, 16, 7, 9
2, 20, Nicky, レヴナ, 아이언피스트, Defense, 19, 10, 10, 6, 2, 0, 2, 0, 1, 7, 32, お豆腐の匠, 47707794, Toddler Ghost, 16, 7, 9
2, 19, Markus, mukkoro, 반고부, Defense, 19, 10, 10, 6, 2, 0, 2, 0, 2, 7, 20, お豆腐の匠, 47707794, Toddler Ghost, 16, 7, 9
3, 19, Vanya, Surfinia, 더문, Defense, 19, 6, 6, 2, 3, 0, 1, 0, 5, 1, 49, 冷害, 47707794, R.E.P.O., 9.5, 5, 4.5
3, 20, Leon, 444PROJECTILES, 프로스트팽, Defense, 19, 6, 6, 2, 3, 0, 1, 0, 1, 5, 57, 冷害, 47707794, R.E.P.O., 9.5, 5, 4.5
3, 19, Jan, C4storice, 택티컬톤파, Defense, 18, 6, 6, 2, 3, 0, 1, 0, 0, 6, 27, mukkoro, 47707794, R.E.P.O., 9.5, 5, 4.5
4, 19, Markus, RQQQQ, 반고부, Defense, 18, 3, 3, 2, 0, 0, 1, 0, 2, 1, 49, お豆腐の匠, 47707794, EVO, 7, 4, 3
4, 18, Chloe, 35億対1, 만천화우, Defense, 18, 3, 3, 2, 0, 0, 1, 0, 1, 1, 53, たまこん, 47707794, EVO, 7, 4, 3
4, 18, Priya, YoNeaKy, 퍼플헤이즈, Defense, 18, 3, 3, 2, 0, 0, 1, 0, 0, 3, 29, たまこん, 47707794, EVO, 7, 4, 3
5, 18, Felix, たまねぎ2nd, 애각창, Defense, 18, 9, 9, 7, 0, 0, 2, 0, 5, 4, 51, RQQQQ, 47707794, NotBeingAll, 12, 3, 9
5, 17, Mai, upalupa, 뇌룡편, Defense, 16, 9, 9, 7, 0, 0, 2, 0, 1, 6, 22, たまこん, 47707794, NotBeingAll, 12, 3, 9
5, 18, YuMin, sLLLime, 여제, Defense, 19, 9, 9, 7, 0, 0, 2, 0, 3, 6, 38, 冷害, 47707794, NotBeingAll, 12, 3, 9
6, 16, Aiden, 青柳, 빛의검, Defense, 16, 8, 8, 1, 2, 0, 5, 0, 4, 4, 29, mukkoro, 47707794, ざるそば隊, 9, 2, 7
6, 16, DebiMarlene, そちゃ, 엑스칼리버, Defense, 15, 8, 8, 1, 2, 0, 5, 0, 0, 6, 13, たまこん, 47707794, ざるそば隊, 9, 2, 7
6, 16, Tia, Pea72, 터럭손방망이, Defense, 15, 8, 8, 1, 2, 0, 5, 0, 4, 2, 56, 冷害, 47707794, ざるそば隊, 9, 2, 7
7, 15, Echion, OISIIPROTEIN, 블랙맘바킹-TL, Defense, 14, 6, 6, 4, 2, 0, 0, 0, 2, 1, 36, たまねぎ2nd, 47707794, 雷帝_, 6, 1, 5
7, 16, Bernice, peporen, 인터벤션, Hunt, 16, 6, 6, 4, 2, 0, 0, 0, 2, 3, 62, sLLLime, 47707794, 雷帝_, 6, 1, 5
7, 16, Hisui, かっと, 빛의검, Hunt, 15, 6, 6, 4, 2, 0, 0, 0, 2, 4, 56, たまねぎ2nd, 47707794, 雷帝_, 6, 1, 5
8, 10, Lyanh, デスガキ, 카른웬난, Defense, 8, 1, 1, 0, 1, 0, 0, 0, 0, 0, 18, OISIIPROTEIN, 47707794, ほーんてっどまんしょん, 0.5, 0, 0.5
8, 10, Luke, Dorago, 구원의여신상, Defense, 8, 1, 1, 0, 1, 0, 0, 0, 1, 0, 19, OISIIPROTEIN, 47707794, ほーんてっどまんしょん, 0.5, 0, 0.5
8, 10, Leni, うぃくらいん, 엘레강스, Defense, 6, 1, 1, 0, 1, 0, 0, 0, 0, 1, 7, peporen, 47707794, ほーんてっどまんしょん, 0.5, 0, 0.5
