rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 20, Nathapon, 松マキサ, 비전 플렉스-새벽, Defense, 19, 11, 11, 9, 1, 0, 1, 0, 1, 9, 67, , 48235114, 松竹梅, 20.5, 10, 10.5
1, 20, YuMin, akihisa, 더 데스-새벽, Defense, 20, 11, 11, 9, 1, 0, 1, 0, 7, 4, 74, , 48235114, 松竹梅, 20.5, 10, 10.5
1, 19, Garnet, LegendOfLeague, 스파이의우산, Defense, 19, 11, 11, 9, 1, 0, 1, 0, 3, 8, 60, , 48235114, 松竹梅, 20.5, 10, 10.5
2, 19, Leon, Prushka, 칼날 톤파-새벽, Defense, 18, 10, 10, 9, 1, 0, 0, 0, 3, 7, 10, akihisa, 48235114, Toddler Gangster, 16.5, 7, 9.5
2, 19, Katja, Meltt, 인터벤션, Defense, 20, 10, 10, 9, 1, 0, 0, 0, 5, 5, 57, akihisa, 48235114, Toddler Gangster, 16.5, 7, 9.5
2, 20, Justyna, かとかい, 팬텀 볼트, Defense, 19, 10, 10, 9, 1, 0, 0, 0, 2, 6, 62, akihisa, 48235114, Toddler Gangster, 16.5, 7, 9.5
3, 19, Estelle, voider26, 빔엑스, Defense, 19, 9, 9, 5, 4, 0, 0, 0, 3, 5, 36, Meltt, 48235114, Bunya, 12, 5, 7
3, 18, Sissela, vaqlas, 생사부, Defense, 19, 9, 9, 5, 4, 0, 0, 0, 5, 3, 40, Prushka, 48235114, Bunya, 12, 5, 7
3, 19, Isol, えすみす, 엔데버AX, Hunt, 20, 9, 9, 5, 4, 0, 0, 0, 1, 5, 70, Meltt, 48235114, Bunya, 12, 5, 7
4, 19, Katja, ハッピー天月, 인터벤션, Defense, 19, 3, 3, 1, 0, 0, 2, 0, 2, 0, 65, LegendOfLeague, 48235114, Out of Control, 7, 4, 3
4, 19, Lenox, みゅーき, 뇌룡편, Defense, 18, 3, 3, 1, 0, 0, 2, 0, 0, 2, 29, akihisa, 48235114, Out of Control, 7, 4, 3
4, 20, Lenore, い力, 하트 브레이커-새벽, Defense, 20, 3, 3, 1, 0, 0, 2, 0, 1, 2, 79, かとかい, 48235114, Out of Control, 7, 4, 3
5, 19, DebiMarlene, harao, 엑스칼리버, Defense, 17, 1, 1, 0, 0, 0, 1, 0, 0, 1, 19, かとかい, 48235114, TBD, 4, 3, 1
5, 18, Istvan, Hyouya, 애각창, Defense, 18, 1, 1, 0, 0, 0, 1, 0, 1, 0, 51, い力, 48235114, TBD, 4, 3, 1
5, 18, Bernice, ドンブレ, 폴라리스, Defense, 18, 1, 1, 0, 0, 0, 1, 0, 0, 1, 55, Meltt, 48235114, TBD, 4, 3, 1
6, 19, Rozzi, れもんだもん, 악켈테, Hunt, 18, 13, 13, 6, 3, 0, 4, 0, 6, 2, 68, voider26, 48235114, OverThrow, 13.5, 2, 11.5
6, 18, Echion, けみ子, 블랙맘바킹-TL, Defense, 17, 13, 13, 6, 3, 0, 4, 0, 3, 6, 44, LegendOfLeague, 48235114, OverThrow, 13.5, 2, 11.5
6, 18, Leon, sino1012, 프로스트팽, Defense, 17, 13, 13, 6, 3, 0, 4, 0, 4, 6, 49, えすみす, 48235114, OverThrow, 13.5, 2, 11.5
7, 15, Chloe, Alek, 플레솃, Defense, 16, 3, 3, 0, 1, 0, 2, 0, 2, 1, 26, akihisa, 48235114, Forsen, 3.5, 1, 2.5
7, 15, Adina, Gyoo, 더스타, Defense, 15, 3, 3, 0, 1, 0, 2, 0, 0, 3, 41, akihisa, 48235114, Forsen, 3.5, 1, 2.5
7, 15, Leon, Tnsh, 흑요석짓테, Defense, 14, 3, 3, 0, 1, 0, 2, 0, 1, 2, 17, 松マキサ, 48235114, Forsen, 3.5, 1, 2.5
8, 13, Johann, レイライン, 운명의수레바퀴, Defense, 11, 10, 10, 0, 3, 0, 7, 0, 0, 8, 9, れもんだもん, 48235114, チクチク梅, 8.5, 0, 8.5
8, 14, Darko, ZEKURIP, 타구봉, Defense, 13, 10, 10, 0, 3, 0, 7, 0, 4, 4, 12, れもんだもん, 48235114, チクチク梅, 8.5, 0, 8.5
8, 14, Hisui, 無双, 모노호시자오, Defense, 14, 10, 10, 0, 3, 0, 7, 0, 6, 3, 18, けみ子, 48235114, チクチク梅, 8.5, 0, 8.5
