rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,total field kill,team kill,elimination,down can not eliminate,repeat down can not eliminate,down can eliminate,repeat down can eliminate,kill,assist,hunting,killer,gameId,teamName,tournament total score,tournament rank score,tournament kill score
1,20,Katja,LxN,위도우 메이커-진홍,Defense,20,10,11,8,2,0,0,0,4,4,62,,49937171,I'm on fire!,19,10,9
1,19,Garnet,チクタク,스파이의우산,Defense,20,10,11,8,2,0,0,0,3,6,41,,49937171,I'm on fire!,19,10,9
1,20,Hisui,ぱんかす,빛의검,Defense,20,10,11,8,2,0,0,0,3,6,52,,49937171,I'm on fire!,19,10,9
2,20,Felix,ここかな,롱기누스의 창-진홍,Defense,19,12,12,7,1,0,4,0,9,3,69,チクタク,49937171,シャルティメットストーム,18.5,7,11.5
2,19,Silvia,義妹,엘레강스,Defense,18,12,12,7,1,0,4,0,2,9,28,ぱんかす,49937171,シャルティメットストーム,18.5,7,11.5
2,20,Mai,SSPotato,뇌룡편,Defense,18,12,12,7,1,0,4,0,1,11,18,ぱんかす,49937171,シャルティメットストーム,18.5,7,11.5
3,19,Hart,guppy63,더월,Defense,18,5,5,1,4,0,0,0,1,3,51,LxN,49937171,最強★Love & Peace,8,5,3
3,18,Darko,chainin,구원의여신상,Defense,17,5,5,1,4,0,0,0,1,3,16,チクタク,49937171,最強★Love & Peace,8,5,3
3,18,Tia,Atato,터럭손방망이,Defense,18,5,5,1,4,0,0,0,3,2,61,LxN,49937171,最強★Love & Peace,8,5,3
4,19,Katja,gincha1299,위도우메이커,Defense,20,10,10,6,1,0,3,0,5,4,50,Atato,49937171,治癒の歌合唱団,13.5,4,9.5
4,18,Estelle,Dagashi0,빔엑스,Defense,18,10,10,6,1,0,3,0,1,7,13,チクタク,49937171,治癒の歌合唱団,13.5,4,9.5
4,20,Justyna,doratama,혈색반월-새벽,Defense,20,10,10,6,1,0,3,0,4,6,69,,49937171,治癒の歌合唱団,13.5,4,9.5
5,18,Adina,kur1ch4n,더문,Hunt,18,5,5,1,3,0,1,0,2,2,73,ここかな,49937171,私とりんご穏健派,6.5,3,3.5
5,18,Katja,yossyoss,인터벤션,Defense,17,5,5,1,3,0,1,0,3,2,40,doratama,49937171,私とりんご穏健派,6.5,3,3.5
5,18,Estelle,hato88,빔엑스,Defense,16,5,5,1,3,0,1,0,0,5,15,SSPotato,49937171,私とりんご穏健派,6.5,3,3.5
6,18,Echion,ジェノ,블랙맘바킹-TL,Defense,18,6,6,3,1,0,2,0,4,2,24,yossyoss,49937171,Blighttown,7.5,2,5.5
6,18,Leni,dominula,스탬피드,Defense,18,6,6,3,1,0,2,0,0,4,31,doratama,49937171,Blighttown,7.5,2,5.5
6,19,Jenny,greatSolt,알타이르,Defense,19,6,6,3,1,0,2,0,2,3,68,gincha1299,49937171,Blighttown,7.5,2,5.5
7,15,Xiukai,ワイザム,파산검,Defense,14,1,1,0,1,0,0,0,0,0,20,doratama,49937171,†真実の刃†,1.5,1,0.5
7,15,Magnus,責任,다그다의망치,Defense,14,1,1,0,1,0,0,0,1,0,33,gincha1299,49937171,†真実の刃†,1.5,1,0.5
7,15,Alonso,サトツ,디바인피스트,Defense,14,1,1,0,1,0,0,0,0,0,26,gincha1299,49937171,†真実の刃†,1.5,1,0.5
8,10,Sua,azazazazazazazaz,낭아봉,Defense,9,4,4,0,4,0,0,0,1,1,12,ここかな,49937171,ミルククラウン,2,0,2
8,9,Leni,Mimoria,스탬피드,Defense,7,4,4,0,4,0,0,0,0,3,9,ここかな,49937171,ミルククラウン,2,0,2
8,9,Yuki,氷雪いろは,디오스쿠로이,Defense,7,4,4,0,4,0,0,0,3,1,5,ここかな,49937171,ミルククラウン,2,0,2
