rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1, 20, Estelle, みゅーき, 낙원의낫, Defense, 20, 20, 20, 1, 17, 53, , 46225889, Out of Control
1, 20, Hart, ハッピー天月, 하트 브레이커-진홍, Defense, 20, 20, 20, 11, 6, 46, , 46225889, Out of Control
1, 20, Lyanh, thato, 비색단검, Defense, 20, 20, 20, 8, 9, 54, , 46225889, Out of Control
2, 20, Adela, 松マキサ, 터럭손방망이, Defense, 20, 9, 9, 4, 5, 70, thato, 46225889, 松竹梅
2, 20, Sua, LegendOfLeague, 피스브링어-새벽, Defense, 20, 9, 9, 3, 4, 61, ハッピー天月, 46225889, 松竹梅
2, 20, Nicky, akihisa, 아이언피스트, Defense, 20, 9, 9, 2, 5, 34, thato, 46225889, 松竹梅
3, 20, Justyna, かとかい, 팬텀 볼트, Defense, 20, 7, 7, 4, 3, 62, thato, 46225889, Toddler Gangster
3, 20, Nadine, Meltt, 혈색반월-진홍, Defense, 20, 7, 7, 3, 3, 55, ハッピー天月, 46225889, Toddler Gangster
3, 20, Estelle, ニッキーブレーク, 빔엑스, Defense, 19, 7, 7, 0, 4, 22, みゅーき, 46225889, Toddler Gangster
4, 20, Katja, えすみす, 인터벤션, Hunt, 20, 1, 1, 0, 0, 72, ハッピー天月, 46225889, ぶにゃ
4, 20, Alonso, voider26, 디바인피스트, Defense, 18, 1, 1, 1, 0, 27, thato, 46225889, ぶにゃ
4, 20, Hyejin, vaqlas, 아르기로톡소스, Hunt, 19, 1, 1, 0, 1, 76, ハッピー天月, 46225889, ぶにゃ
5, 19, Aya, peporen, 아그니, Defense, 19, 3, 3, 1, 2, 44, ハッピー天月, 46225889, 聖帝十字陵
5, 19, Eva, 駅弁mk, 소이탄, Hunt, 19, 3, 3, 2, 1, 68, thato, 46225889, 聖帝十字陵
5, 18, Alonso, sukopi, 디바인피스트, Defense, 18, 3, 3, 0, 3, 17, ハッピー天月, 46225889, 聖帝十字陵
6, 17, Nathapon, sino1012, 트리플 포커스, Defense, 17, 3, 3, 3, 0, 40, かとかい, 46225889, TBD
6, 15, Eleven, Hyouya, 천근추, Defense, 14, 3, 3, 0, 3, 17, Meltt, 46225889, TBD
6, 17, Emma, れもんだもん, 풍마수리검, Defense, 16, 3, 3, 0, 2, 41, Meltt, 46225889, TBD
7, 9, Silvia, 舞野, 엘레강스, Defense, 5, 0, 0, 0, 0, 14, 駅弁mk, 46225889, 舞野組
7, 8, Chloe, とんとジェニー, 미치광이왕의카드, Defense, 5, 0, 0, 0, 0, 17, sino1012, 46225889, 舞野組
7, 9, Alonso, HeianKYO, 디바인피스트, Defense, 5, 0, 0, 0, 0, 14, sino1012, 46225889, 舞野組
8, 8, Garnet, Tnsh, 스파이의우산, Defense, 5, 0, 0, 0, 0, 6, ハッピー天月, 46225889, Forsen
8, 8, Chloe, Alek, 미치광이왕의카드, Defense, 5, 0, 0, 0, 0, 8, thato, 46225889, Forsen
8, 8, Adriana, Gyoo, 소이탄, Defense, 4, 0, 0, 0, 0, 4, thato, 46225889, Forsen
