Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
じゃっきーらぶ,Priya,4,75.0,37,9.25,1.75,45.5,19.75
peporen,Aya,4,75.0,37,9.25,1.75,46.5,20.0
sukopi,Markus,4,75.0,37,9.25,1.75,29.0,19.75
レヴナ,Darko,4,0.0,29,7.25,3.25,25.75,19.0
冷害,Elena,4,0.0,29,7.25,3.25,48.0,19.25
CiELzzz,Rozzi,4,0.0,29,7.25,3.25,56.25,19.25
Sitiyoh,Bernice / Hisui,4,0.0,16,4.0,6.0,71.0,18.0
Twitchtatsuo0308,Isaac / Karla,4,0.0,16,4.0,6.0,27.5,17.5
へるた,Mai / Alonso,4,0.0,16,4.0,6.0,15.5,16.5
コメダの泥水,Laura / Barbara,4,0.0,14,3.5,5.75,36.25,17.0
saimina,Tia,4,0.0,14,3.5,5.75,38.0,16.5
たまご,Kenneth / Mai,4,0.0,14,3.5,5.75,38.25,15.75
Sucyone,Alonso / Leon / Darko,4,0.0,8,2.0,5.5,19.5,17.75
サーモン中西,Chloe,2,0.0,4,2.0,4.5,44.5,19.0
RQQQQ,Arda / Haze,4,0.0,8,2.0,5.5,56.0,19.0
デスガキ,Lyanh,2,0.0,10,5.0,6.5,47.0,18.0
berryrabbit,Leni / Tsubame,4,0.0,24,6.0,6.25,31.75,17.75
おぼろづき米,Markus,4,0.0,24,6.0,6.25,21.25,17.5
DEKABIGUNO,Charlotte,4,25.0,26,6.5,3.0,14.25,18.5
uzakiron,Justyna,4,25.0,26,6.5,3.0,73.25,20.0
minagawa,Lenox,4,25.0,26,6.5,3.0,37.0,19.0
混沌の闇ヤスオ,Jan,4,0.0,26,6.5,5.25,40.25,18.0
ぷれこーーーーる,William / Hart / Tsubame,4,0.0,26,6.5,5.25,41.0,18.75
YoNeaKy,Estelle / Eva,4,0.0,26,6.5,5.25,33.5,19.0
シユイ,Adriana,2,0.0,14,7.0,6.0,42.5,19.5
エラン,Leon / Yuki,2,0.0,4,2.0,6.5,19.0,17.0
