Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
Raim,Chiara,4,50.0,54,13.5,4.25,36.25,15.75
피세,Nicky / Camilo / Arda,4,50.0,54,13.5,4.25,42.25,15.5
3y3s,Johann / Chloe,4,50.0,54,13.5,4.25,17.0,14.75
LegendOfLeague,Garnet / Markus / Nicky,4,25.0,38,9.5,4.25,31.0,16.5
松マキサ,Nathapon / Katja / Bernice,4,25.0,38,9.5,4.25,42.25,16.5
akihisa,YuMin / Istvan,4,25.0,38,9.5,4.25,47.75,16.75
パルコフォルゴレ,Alonso,4,0.0,30,7.5,3.25,13.25,18.25
かとかい,Lenore / YuMin,4,0.0,30,7.5,3.25,75.5,20.0
Meltt,Nadine,4,0.0,30,7.5,3.25,57.0,20.0
vaqlas,Hyejin,4,0.0,21,5.25,4.0,36.25,18.0
えすみす,Katja,4,0.0,21,5.25,4.0,60.75,18.5
voider26,Estelle,4,0.0,21,5.25,4.0,24.75,17.5
박의민,Rio / Karla,4,0.0,34,8.5,5.5,46.0,16.75
らいらい,Camilo,2,0.0,17,8.5,4.5,43.5,19.0
OISIIPROTEIN,Echion / Xiukai / Arda,4,0.0,34,8.5,5.5,25.25,15.5
ZEKURIP,Darko / Rozzi,4,25.0,41,10.25,4.25,50.0,19.5
レイライン,Charlotte / Elena / Estelle,4,25.0,41,10.25,4.25,27.0,19.0
無双,Hisui / Sua,4,25.0,41,10.25,4.25,91.5,20.0
けみ子,Hisui / Echion,4,0.0,19,4.75,4.75,33.75,16.75
sino1012,Leon / Elena,4,0.0,19,4.75,4.75,32.5,16.0
れもんだもん,Rozzi,4,0.0,19,4.75,4.75,39.5,16.5
Uriha,Katja / Hart / Theodore,4,0.0,19,4.75,6.0,33.75,15.0
에필로그,Nicky / Hisui / Garnet,4,0.0,19,4.75,6.0,28.75,13.5
KatsuragiAce,Silvia / Bernice,4,0.0,19,4.75,6.0,38.5,14.5
かっと,Sissela / Garnet,2,0.0,17,8.5,6.5,16.5,13.0
