Team name,Played Rounds,Win Percent,Total Kills,Avg Kills,Avg Rank,Total points,Avg Points
Bunya,24,16.7,195,8.12,3.5,317,13.21
Black King Bar,4,0.0,15,3.75,6.0,24,6.0
佃煮の台湾付け,4,0.0,22,5.5,5.5,32,8.0
3月33日,4,0.0,23,5.75,3.5,42,10.5
The unseen blade,4,25.0,26,6.5,3.0,49,12.25
CROSSOVER,8,12.5,76,9.5,4.12,112,14.0
チクチク梅,48,16.7,484,10.08,3.6,729,15.19
Rage0day,7,0.0,60,8.57,5.86,75,10.71
Toddler Vivid,8,25.0,57,7.12,4.12,95,11.88
はいどろ2000,8,37.5,83,10.38,3.25,133,16.62
たかぴ,4,0.0,15,3.75,5.0,27,6.75
Toddler Ghost,44,6.8,206,4.68,4.8,360,8.18
あいらいどふぁいたーず,4,0.0,10,2.5,5.25,21,5.25
ほーんてっどまんしょん,12,33.3,83,6.92,4.25,140,11.67
CR霧雨2nd,4,0.0,18,4.5,5.5,28,7.0
ぷちぷちおみせっち,4,0.0,36,9.0,5.0,50,12.5
Out of Control,28,14.3,277,9.89,4.61,391,13.96
ほとんど無害,4,25.0,45,11.25,2.75,70,17.5
NotBeingAll,32,9.4,219,6.84,4.62,341,10.66
OverThrow,36,27.8,364,10.11,3.72,553,15.36
Toddler Gangster,44,4.5,329,7.48,4.64,484,11.0
Omakase,4,0.0,19,4.75,5.5,30,7.5
ラディカル・グッドスピード,4,25.0,49,12.25,3.5,71,17.75
殺気駆け漢塾,4,50.0,47,11.75,1.5,81,20.25
1or8,4,0.0,30,7.5,3.75,48,12.0
江多二亭,8,0.0,38,4.75,5.62,57,7.12
ピクミンブルーム,4,0.0,34,8.5,5.0,46,11.5
マルティナ(42),4,25.0,16,4.0,4.0,35,8.75
Brainstorm,16,6.2,101,6.31,5.25,148,9.25
J2K,12,0.0,34,2.83,6.42,53,4.42
GGXD,4,25.0,45,11.25,4.5,62,15.5
シャルティメットストーム,4,0.0,15,3.75,5.0,28,7.0
ほならば咲耶姫,4,0.0,17,4.25,4.25,33,8.25
ルミア島リサーチセンター,4,0.0,8,2.0,4.25,24,6.0
TripleR,4,50.0,33,8.25,2.25,63,15.75
狼猛襲,4,25.0,31,7.75,4.75,48,12.0
私とりんご穏健派,4,0.0,36,9.0,4.75,49,12.25
佐川大根,4,0.0,17,4.25,6.5,23,5.75
ジャンボ,4,50.0,28,7.0,2.75,55,13.75
えびグラ団,4,0.0,18,4.5,2.75,41,10.25
最強★Love_&_Peace,4,25.0,50,12.5,2.25,77,19.25
Nimmt55,4,0.0,20,5.0,5.0,32,8.0
ばなな組,4,0.0,28,7.0,4.75,42,10.5
Serendipity,4,0.0,20,5.0,5.5,30,7.5
おさんぽオンライン,4,25.0,20,5.0,5.0,35,8.75
Marine Delight,4,0.0,19,4.75,5.0,32,8.0
†神縫合†,20,15.0,155,7.75,3.3,264,13.2
伝説の中西,8,0.0,11,1.38,6.62,22,2.75
エステル同好会,4,25.0,47,11.75,2.5,72,18.0
TRANSAM,4,0.0,13,3.25,6.0,21,5.25
tekitou,4,25.0,26,6.5,5.25,40,10.0
Forsen,20,20.0,190,9.5,4.2,282,14.1
らむだ,4,0.0,22,5.5,5.75,32,8.0
