rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, elimination, down can not eliminate, repeat down can not eliminate, down can eliminate, repeat down can eliminate, kill, assist, hunting, killer, gameId, teamName, tournament total score, tournament rank score, tournament kill score
1, 19, Bernice, Dotter, 위도우메이커, Defense, 20, 13, 13, 8, 4, 0, 1, 0, 2, 11, 52, , 48722234, Toxtricity, 21, 10, 11
1, 19, Leon, peporen, 흑요석짓테, Defense, 19, 13, 13, 8, 4, 0, 1, 0, 5, 8, 19, , 48722234, Toxtricity, 21, 10, 11
1, 19, William, ぷれこーーーーる, 체이서-진홍, Defense, 20, 13, 13, 8, 4, 0, 1, 0, 6, 6, 67, , 48722234, Toxtricity, 21, 10, 11
2, 20, Shoichi, たまこん, 월식, Defense, 19, 14, 14, 9, 1, 0, 4, 0, 6, 7, 61, ぷれこーーーーる, 48722234, たかし, 20.5, 7, 13.5
2, 19, Estelle, レイ様, 빔엑스, Defense, 19, 14, 14, 9, 1, 0, 4, 0, 4, 10, 27, ぷれこーーーーる, 48722234, たかし, 20.5, 7, 13.5
2, 20, Theodore, Endeavor108, 데드아이, Defense, 20, 14, 14, 9, 1, 0, 4, 0, 4, 10, 64, Dotter, 48722234, たかし, 20.5, 7, 13.5
3, 19, Xiukai, berryrabbit, 파산검, Defense, 18, 3, 3, 2, 1, 0, 0, 0, 0, 3, 14, ぷれこーーーーる, 48722234, Marine Delight, 7.5, 5, 2.5
3, 19, Justyna, シユイ, 팬텀 볼트, Defense, 19, 3, 3, 2, 1, 0, 0, 0, 1, 2, 65, レイ様, 48722234, Marine Delight, 7.5, 5, 2.5
3, 20, Katja, REIA778, 인터벤션, Defense, 19, 3, 3, 2, 1, 0, 0, 0, 2, 1, 65, レイ様, 48722234, Marine Delight, 7.5, 5, 2.5
4, 17, Jackie, CiELzzz, 카른웬난, Defense, 16, 7, 7, 3, 0, 0, 3, 1, 4, 1, 42, 冷害, 48722234, ETC, 11, 4, 7
4, 17, Vanya, Twitchtatsuo0308, 여제, Defense, 17, 7, 7, 3, 0, 0, 3, 1, 1, 4, 49, 冷害, 48722234, ETC, 11, 4, 7
4, 17, Markus, たまご, 반고부, Defense, 16, 7, 7, 3, 0, 0, 3, 1, 2, 3, 19, レイ様, 48722234, ETC, 11, 4, 7
5, 18, Lyanh, デスガキ, 소울리퍼, Defense, 17, 3, 3, 2, 1, 0, 0, 0, 0, 2, 49, Endeavor108, 48722234, 幻想ながしそうめん, 5.5, 3, 2.5
5, 18, Lenox, bambooXIV, 사복검, Defense, 16, 3, 3, 2, 1, 0, 0, 0, 0, 3, 15, ぷれこーーーーる, 48722234, 幻想ながしそうめん, 5.5, 3, 2.5
5, 18, Isol, 冷害, 저지먼트, Defense, 19, 3, 3, 2, 1, 0, 0, 0, 3, 0, 69, たまこん, 48722234, 幻想ながしそうめん, 5.5, 3, 2.5
6, 15, Mai, 一杯酒気, 뇌룡편, Defense, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, たまこん, 48722234, ライトニング・ストーム, 2, 2, 0
6, 16, Katja, ななしの, 안드로메다, Defense, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, たまこん, 48722234, ライトニング・ストーム, 2, 2, 0
6, 16, Priya, mare7s, 헤븐즈도어, Defense, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, レイ様, 48722234, ライトニング・ストーム, 2, 2, 0
7, 13, Jenny, kawaiiOTP, 알타이르, Defense, 13, 7, 7, 0, 5, 0, 2, 0, 1, 2, 34, CiELzzz, 48722234, †神縫合†, 5.5, 1, 4.5
7, 14, Elena, HeianKYO, 레드팬서, Defense, 13, 7, 7, 0, 5, 0, 2, 0, 1, 4, 22, Twitchtatsuo0308, 48722234, †神縫合†, 5.5, 1, 4.5
7, 14, Chloe, rosen, 수다르사나, Defense, 14, 7, 7, 0, 5, 0, 2, 0, 5, 2, 24, CiELzzz, 48722234, †神縫合†, 5.5, 1, 4.5
