Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
たまこん,Shoichi / Hisui,4,25.0,40,10.0,4.0,33.0,18.0
レイ様,Estelle / Darko / Charlotte,4,25.0,40,10.0,4.0,24.25,16.5
お豆腐の匠,Arda / Katja / Johann / Kenneth,4,25.0,40,10.0,4.0,31.5,17.25
Roombird,Isol,4,0.0,27,6.75,4.0,58.25,18.5
綿月,Alonso / Estelle / Lenox,4,0.0,27,6.75,4.0,36.0,18.25
Flow,Tia,4,0.0,27,6.75,4.0,50.75,18.25
照る坊主,Piolo / Aiden / Jackie,4,0.0,23,5.75,6.25,45.0,15.75
ななしの,Katja,4,0.0,23,5.75,6.25,46.75,16.5
teru3485,Alonso / Xiukai / Barbara,4,0.0,23,5.75,6.25,11.5,14.75
HeianKYO,Elena,4,25.0,37,9.25,2.75,42.25,19.0
rosen,Chloe,4,25.0,37,9.25,2.75,47.25,19.25
kawaiiOTP,Jenny,4,25.0,37,9.25,2.75,46.5,18.75
SSPotato,Alonso / Estelle / Garnet,4,0.0,6,1.5,6.75,11.25,14.25
ここかな,YuMin,4,0.0,6,1.5,6.75,51.75,16.0
MinaseRushia,Rio / Tsubame,4,0.0,6,1.5,6.75,41.75,15.75
suvarublend,Charlotte / Isaac,4,0.0,21,5.25,5.5,27.75,15.0
mystica,Sua / Arda,4,0.0,21,5.25,5.5,46.25,16.75
ふーと,Hisui / Kenneth,4,0.0,21,5.25,5.5,41.75,16.75
isemaki,Markus / Nadine,4,25.0,37,9.25,3.25,37.75,17.75
SpinningIce,Priya / Lenox,4,25.0,37,9.25,3.25,44.25,17.75
TRPGBear,Hisui / LiDailin,4,25.0,37,9.25,3.25,45.0,18.5
ネフェルトゥス,Bernice / Sissela,4,25.0,22,5.5,3.5,52.25,18.75
bambooXIV,Estelle / Leon,4,25.0,22,5.5,3.5,22.75,16.75
keikoma,Adina,4,25.0,22,5.5,3.5,68.5,18.5
