Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
LegendOfLeague,Garnet / Piolo / Daniel,4,25.0,33,8.25,4.25,34.75,17.0
松マキサ,Nathapon / Fiora / Elena,4,25.0,33,8.25,4.25,43.0,16.75
akihisa,YuMin / Arda / Istvan,4,25.0,33,8.25,4.25,52.0,17.5
らいらい,Camilo,4,25.0,59,14.75,2.25,75.25,20.0
3y3s,Johann,4,25.0,59,14.75,2.25,13.5,18.75
Raim,Chiara,4,25.0,59,14.75,2.25,63.75,20.0
ZEKURIP,Leni / Jenny,4,25.0,38,9.5,2.5,27.5,18.75
レイライン,Elena / Markus / Charlotte,4,25.0,38,9.5,2.5,35.75,18.75
無双,Hisui,4,25.0,38,9.5,2.5,79.75,19.5
Prushka,Xiukai / Alonso / Markus,4,0.0,29,7.25,3.5,18.0,17.75
かとかい,YuMin / Zahir / Justyna,4,0.0,29,7.25,3.5,73.0,18.75
Meltt,Rio / Theodore,4,0.0,29,7.25,3.5,53.0,18.75
Dorago,Elena / Jenny / Bernice,4,0.0,9,2.25,5.0,56.25,17.5
うぃくらいん,Istvan / Leni / Johann,4,0.0,9,2.25,5.0,32.75,16.5
OISIIPROTEIN,Chiara / Echion,4,0.0,9,2.25,5.0,43.25,17.5
たまねぎ2nd,Laura / Felix,4,0.0,17,4.25,6.0,50.75,15.75
upalupa,DebiMarlene / Estelle,4,0.0,17,4.25,6.0,21.75,14.25
sLLLime,Aya,4,0.0,17,4.25,6.0,39.25,15.5
sino1012,Jan / Vanya,4,25.0,36,9.0,4.5,39.5,18.75
けみ子,Hisui,4,25.0,36,9.0,4.5,49.0,18.75
れもんだもん,Elena / Rozzi / Haze,4,25.0,36,9.0,4.5,42.75,17.75
