Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
voider26,Estelle / Piolo,4,25.0,42,10.5,2.25,48.25,19.0
REIA778,Hisui / Darko / Adriana / Katja,4,25.0,42,10.5,2.25,50.25,19.25
vaqlas,Leni / Hyejin / Celine,4,25.0,42,10.5,2.25,56.25,19.5
Skyper,Kenneth / Camilo / Katja / Theodore,4,0.0,38,9.5,3.25,57.25,18.25
아나진,Leni / Estelle / Markus / Alonso,4,0.0,38,9.5,3.25,21.25,17.25
HDKいっかん,Camilo / Emma / Karla / Bernice,4,0.0,38,9.5,3.25,50.5,17.5
mystica,William,4,50.0,26,6.5,2.25,67.0,19.0
八ッ橋ちょこ,Lenore,4,50.0,26,6.5,2.25,53.0,19.25
LilySelene,Estelle / Mai,4,50.0,26,6.5,2.25,37.5,18.5
Pommmmm,Laura / Hisui / Isol / Aiden,4,0.0,11,2.75,4.5,67.5,18.25
義妹,Leni / Charlotte / Johann,4,0.0,11,2.75,4.5,19.75,16.5
主任,DebiMarlene,4,0.0,11,2.75,4.5,57.75,17.75
yasakaF,Piolo / Markus / Leon,4,0.0,17,4.25,5.25,25.25,15.25
sorarun,Sissela / Theodore,4,0.0,17,4.25,5.25,41.0,16.5
たゆた,Felix,4,0.0,17,4.25,5.25,46.5,16.25
SSPotato,Mai,4,0.0,5,1.25,6.25,15.0,13.5
ここかな,Felix,4,0.0,5,1.25,6.25,47.25,14.5
CiELzzz,Lenore / YuMin / Hart / Leni,4,0.0,5,1.25,6.25,41.5,14.5
kimaki,Garnet / Vanya,4,25.0,29,7.25,4.25,36.5,15.75
Dato2,Justyna / Aya / Nadine / Isol,4,25.0,29,7.25,4.25,58.75,16.25
syon1222,Tazia,2,0.0,10,5.0,5.0,29.0,16.0
コレマサ,Elena / Leon,2,50.0,19,9.5,3.5,53.5,15.5
