Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
かとかい,Sissela / Lenore / Justyna,4,25.0,22,5.5,4.25,52.5,18.75
Meltt,Rio / Nadine / Bernice / Tsubame,6,16.7,37,6.17,4.17,60.0,18.83
ニッキーブレーク,Lenox / Estelle / Alonso,6,16.7,37,6.17,4.17,19.5,18.0
ハッピー天月,Chiara / Rio / Hart,6,33.3,60,10.0,2.5,49.67,19.0
みゅーき,Bianca / Mai / Estelle,6,33.3,60,10.0,2.5,50.5,19.0
い力,Echion,2,0.0,13,6.5,2.5,41.0,19.5
CappuChino,Charlotte,2,0.0,13,6.5,2.5,19.0,19.5
Tnsh,Nicky / Garnet / Xiukai / Markus,6,0.0,34,5.67,5.33,27.17,13.83
Alek,Hart / Chloe / Katja / Nathapon,6,0.0,34,5.67,5.33,43.17,14.17
voider26,Estelle / Darko / Alonso,6,0.0,23,3.83,3.67,23.5,18.5
catsR,Irem,2,0.0,9,4.5,4.0,59.0,19.0
えすみす,Jackie / Luke / Bernice / Katja,6,0.0,23,3.83,3.67,62.83,19.5
駅弁mk,Sua / Vanya / Eva / Zahir / YuMin,6,0.0,9,1.5,6.33,38.33,13.67
sukopi,Estelle / Alonso / Markus,6,0.0,9,1.5,6.33,11.83,12.33
peporen,Bernice / Aya,4,0.0,5,1.25,6.5,25.75,13.25
松マキサ,Hyunwoo / Bernice / Adela / Piolo,6,33.3,70,11.67,2.5,49.67,17.67
LegendOfLeague,Leni / Markus / Sua / Mai / Magnus,6,33.3,70,11.67,2.5,32.67,17.5
akihisa,Kenneth / Darko / Nicky / YuMin / Hisui,6,33.3,70,11.67,2.5,37.83,18.0
HeianKYO,Elena / Alonso / Garnet,6,16.7,18,3.0,5.17,30.33,13.5
とんとジェニー,Jenny / Aya / Theodore / Chloe,6,16.7,18,3.0,5.17,47.17,14.67
舞野,Adriana / Irem / Kenneth / Silvia,6,16.7,18,3.0,5.17,34.17,14.17
れもんだもん,Charlotte / Rozzi / Emma / Tsubame,6,0.0,32,5.33,6.33,27.83,15.0
sino1012,Vanya / Elena / Nathapon / Echion,6,0.0,32,5.33,6.33,21.17,15.83
Hyouya,Bernice / LiDailin / Eleven / Kenneth,6,0.0,32,5.33,6.33,33.83,15.17
thato,Hyejin / Lyanh,4,50.0,47,11.75,2.5,53.0,18.75
Gyoo,Adriana / Adina / Barbara,4,0.0,21,5.25,6.75,17.5,11.0
vaqlas,Priya / Hyejin,4,0.0,14,3.5,3.5,52.0,19.0
Prushka,Theodore / Arda,2,0.0,15,7.5,4.0,46.0,19.0
じゃっきーらぶ,Priya,2,0.0,4,2.0,6.0,25.5,11.5
