Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
vaqlas,Hyejin / Celine / Nathapon,12,25.0,119,9.92,3.5,52.92,18.92
voider26,Elena / Estelle / LiDailin,20,30.0,205,10.25,3.1,29.9,18.4
えすみす,Alex / Isol / Martina / Leon / Sua / Jenny / Rio,12,33.3,113,9.42,3.42,47.0,18.83
MaTfromDota2,Nadine / Sissela / Piolo / Lenox,8,0.0,34,4.25,5.75,38.12,16.12
LORDofVERMILION,Leon / Martina / Jan,12,25.0,65,5.42,4.42,35.5,16.92
HeianKYO,Elena / Alonso / Garnet / Echion / Lenox,12,16.7,66,5.5,4.42,42.25,17.58
TKDNdecoy,Leon / Laura,4,0.0,22,5.5,5.5,31.5,16.75
sukopi,Estelle / Elena,10,0.0,81,8.1,4.9,37.7,17.4
かっと,Chiara / Hisui / Jenny / Rio,12,8.3,99,8.25,4.83,48.83,17.83
駅弁mk,Hyejin / Sua / Zahir / YuMin,4,0.0,23,5.75,3.5,60.5,17.75
鈴木リコリス,Estelle / Lenox / Eleven / Nicky,12,16.7,76,6.33,3.5,26.58,17.33
YoNeaKy,Camilo / Eva / Chloe / Estelle / Hyejin,16,6.2,122,7.62,4.44,40.75,17.56
Sitiyoh,Theodore / Estelle / Arda / Mai / Felix / Martina,12,33.3,76,6.33,3.42,47.33,18.5
ぷれこーーーーる,Darko / William,20,15.0,130,6.5,4.1,43.3,17.55
混沌の闇ヤスオ,Aiden / Jan / Isaac / Piolo,12,25.0,86,7.17,3.5,43.08,17.92
thato,Lyanh / Hisui,18,11.1,165,9.17,4.56,39.17,17.67
kemiko,Hisui / Charlotte / Echion,16,31.2,200,12.5,3.12,53.19,19.19
べんとりっく,Zahir / Kenneth / Luke,8,12.5,76,9.5,4.12,67.5,19.38
レイライン,Elena / Estelle / Alex / Xiukai / LiDailin / Lenox / Alonso / Markus / Aiden / Eleven,24,25.0,293,12.21,3.5,23.88,18.21
ZEKURIP,Rozzi / Katja / Jenny / Chloe / Rio / Lenore / Leni / Charlotte / Bernice,24,25.0,293,12.21,3.5,42.33,18.83
無双,Hisui / Sua,24,25.0,293,12.21,3.5,62.92,19.17
HYEINSEO,Katja / Cathy,7,0.0,60,8.57,5.86,27.86,16.71
곽성군,Eleven / Zahir / Tia,4,0.0,35,8.75,5.75,38.25,17.25
SEOHYEIN,Aiden,4,0.0,35,8.75,5.75,43.5,18.25
うぇびー,Sua / Felix / Laura,12,16.7,115,9.58,3.42,43.08,18.5
さすらいぱんだ,Johann / Silvia,4,25.0,30,7.5,3.5,30.75,17.75
Pororoca,Rio,2,50.0,8,4.0,4.0,68.0,18.0
Pea72,Justyna / Tia,4,25.0,31,7.75,4.5,53.25,17.5
青柳,Aiden,4,25.0,31,7.75,4.5,57.0,17.5
Levia4,Eleven,4,25.0,31,7.75,4.5,14.5,16.25
レイ様,Estelle / Eleven / Markus,12,8.3,82,6.83,4.42,17.83,16.92
お豆腐の匠,Theodore / YuMin,12,8.3,82,6.83,4.42,49.67,17.92
10p,Sua / Katja,4,0.0,15,3.75,5.0,47.25,18.25
冷害,Elena / Charlotte / Vanya / Justyna,16,12.5,93,5.81,4.0,42.25,17.81
レヴナ,Darko / DebiMarlene / Leon / Istvan,18,11.1,95,5.28,4.5,31.78,16.94
CiELzzz,Hart / Hisui / Sissela / Katja / Rio,14,7.1,79,5.64,5.29,44.71,17.57
poppoppoo,Karla / Laura / Adina / Celine,4,0.0,10,2.5,5.25,33.25,16.5
Pommmmm,Lenox / Hisui / Katja / Mai,4,0.0,10,2.5,5.25,27.75,15.75
yasakaF,Leon / Estelle / Jan,4,0.0,10,2.5,5.25,27.25,16.5
OISIIPROTEIN,Chiara,4,25.0,33,8.25,4.0,45.5,18.75
Dorago,Bernice,4,25.0,33,8.25,4.0,77.75,19.5
うぃくらいん,Johann,4,25.0,33,8.25,4.0,21.75,17.75
catsR,Irem / Xiukai / Alonso,12,25.0,83,6.92,4.42,40.25,18.17
kirisamefirst,Sissela,4,0.0,18,4.5,5.5,44.25,19.25
taiga7810,Markus,4,0.0,18,4.5,5.5,22.5,17.75
Natupon,Nathapon / Leni,12,8.3,122,10.17,4.42,27.58,17.75
Sharp3,Jan / Markus / Darko,12,8.3,122,10.17,4.42,35.5,17.83
