Team name,Played Rounds,Win Percent,Total Kills,Avg Kills,Avg Rank,Total points,Avg Points
Bunya,12,33.3,113,9.42,3.42,162,13.5
Black King Bar,4,0.0,15,3.75,6.0,21,5.25
佃煮の台湾付け,4,0.0,22,5.5,5.5,29,7.25
3月33日,4,0.0,23,5.75,3.5,37,9.25
The unseen blade,4,25.0,26,6.5,3.0,44,11.0
CROSSOVER,8,12.5,76,9.5,4.12,101,12.62
チクチク梅,28,21.4,326,11.64,3.46,438,15.64
Rage0day,7,0.0,60,8.57,5.86,69,9.86
Toddler Vivid,4,25.0,30,7.5,3.5,46,11.5
はいどろ2000,4,25.0,31,7.75,4.5,44,11.0
たかぴ,4,0.0,15,3.75,5.0,24,6.0
Toddler Ghost,24,8.3,116,4.83,4.79,176,7.33
あいらいどふぁいたーず,4,0.0,10,2.5,5.25,17,4.25
ほーんてっどまんしょん,4,25.0,33,8.25,4.0,47,11.75
CR霧雨2nd,4,0.0,18,4.5,5.5,24,6.0
ぷちぷちおみせっち,4,0.0,36,9.0,5.0,46,11.5
Out of Control,16,6.2,152,9.5,5.19,189,11.81
ほとんど無害,4,25.0,45,11.25,2.75,64,16.0
NotBeingAll,24,8.3,161,6.71,4.5,230,9.58
OverThrow,16,50.0,210,13.12,2.56,298,18.62
Toddler Gangster,24,4.2,181,7.54,4.71,236,9.83
Omakase,4,0.0,19,4.75,5.5,26,6.5
ラディカル・グッドスピード,4,25.0,49,12.25,3.5,66,16.5
殺気駆け漢塾,4,50.0,47,11.75,1.5,73,18.25
1or8,4,0.0,30,7.5,3.75,43,10.75
江多二亭,4,0.0,17,4.25,5.75,23,5.75
ピクミンブルーム,4,0.0,34,8.5,5.0,42,10.5
マルティナ(42),4,25.0,16,4.0,4.0,30,7.5
Brainstorm,4,0.0,31,7.75,6.25,35,8.75
J2K,8,0.0,27,3.38,6.12,35,4.38
GGXD,4,25.0,45,11.25,4.5,58,14.5
シャルティメットストーム,4,0.0,15,3.75,5.0,24,6.0
ほならば咲耶姫,4,0.0,17,4.25,4.25,28,7.0
ルミア島リサーチセンター,4,0.0,8,2.0,4.25,19,4.75
TripleR,4,50.0,33,8.25,2.25,56,14.0
狼猛襲,4,25.0,31,7.75,4.75,44,11.0
私とりんご穏健派,4,0.0,36,9.0,4.75,45,11.25
佐川大根,4,0.0,17,4.25,6.5,20,5.0
ジャンボ,4,50.0,28,7.0,2.75,49,12.25
えびグラ団,4,0.0,18,4.5,2.75,35,8.75
最強★Love_&_Peace,4,25.0,50,12.5,2.25,71,17.75
Nimmt55,4,0.0,20,5.0,5.0,28,7.0
ばなな組,4,0.0,28,7.0,4.75,37,9.25
Serendipity,4,0.0,20,5.0,5.5,26,6.5
おさんぽオンライン,4,25.0,20,5.0,5.0,30,7.5
Marine Delight,4,0.0,19,4.75,5.0,28,7.0
†神縫合†,8,25.0,51,6.38,3.62,82,10.25
伝説の中西,8,0.0,11,1.38,6.62,15,1.88
エステル同好会,4,25.0,47,11.75,2.5,67,16.75
TRANSAM,4,0.0,13,3.25,6.0,17,4.25
tekitou,4,25.0,26,6.5,5.25,35,8.75
Forsen,8,12.5,57,7.12,4.5,81,10.12
らむだ,4,0.0,22,5.5,5.75,29,7.25
SCB,12,8.3,121,10.08,4.5,155,12.92
たかし,12,8.3,85,7.08,4.83,114,9.5
どうぶつのもり,4,25.0,52,13.0,3.25,69,17.25
YAC,4,0.0,22,5.5,3.5,36,9.0
蒙古タンメン中西,4,0.0,17,4.25,5.5,24,6.0
鬼斬り,4,0.0,28,7.0,5.5,34,8.5
PerfectExecution,4,50.0,34,8.5,3.25,54,13.5
TBD,4,0.0,23,5.75,4.0,36,9.0
赤卵_,4,0.0,6,1.5,5.5,14,3.5
兵器ブリオン,4,0.0,27,6.75,4.5,37,9.25
